Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Newman, Nic",2021,14,199,86,76,0,1,0,54,18,11,80.9,86.4
"Williams, Zac",2021,14,201,55,63,5,4,0,26,11,14,73.5,71.5
"Fogarty, Lachie",2021,17,139,57,107,6,6,0,62,16,11,71.4,63.2
"Dow, Paddy",2021,17,95,28,147,4,2,0,39,9,13,63.5,47.9
"Kennedy, Matthew",2021,13,138,60,101,6,2,0,54,11,10,65.0,79.3
"Stocker, Liam",2021,17,163,58,75,2,1,0,37,15,10,79.3,56.4
"Jones, Liam",2021,19,178,105,41,0,1,0,19,24,16,95.5,51.8
"Plowman, Lachie",2021,19,160,85,59,1,0,0,20,14,13,90.2,48.1
"Silvagni, Jack",2021,15,130,70,70,9,13,17,38,14,12,76.3,63.6
"Petrevski-Seton, Sam",2021,14,134,56,64,1,3,0,26,7,7,62.5,56.9
"Murphy, Marc",2021,15,115,47,76,8,4,0,24,8,4,60.3,52.1
"McKay, Harry",2021,19,154,113,31,58,33,6,27,27,18,86.2,70.1
"Betts, Eddie",2021,19,121,42,59,27,16,0,31,8,14,79.2,46.1
"Cottrell, Matthew",2021,14,118,37,47,3,2,0,31,5,9,69.8,48.6
"Fisher, Zac",2021,10,85,23,74,4,8,0,24,5,9,79.3,57.8
"Gibbons, Michael",2021,11,98,39,58,8,5,0,27,6,6,71.7,61.5
"Pittonet, Marc",2021,13,67,26,80,5,5,379,28,17,24,82.6,70.0
"Martin, Jack",2021,11,94,61,46,8,6,0,26,9,11,78.3,62.8
"Setterfield, Will",2021,8,74,35,50,1,6,0,17,6,10,76.3,60.4
"Williamson, Tom",2021,11,83,43,41,2,3,0,16,2,8,79.3,47.0
"De Koning, Tom",2021,13,81,40,42,7,4,219,27,16,15,74.7,60.8
"Owies, Matthew",2021,13,69,43,46,15,17,0,38,10,7,73.4,52.0
"Casboult, Levi",2021,13,77,47,34,8,5,79,25,11,17,80.2,48.6
"OBrien, Lochie",2021,5,49,20,31,1,3,0,9,4,1,80.6,63.0
"McGovern, Mitch",2021,5,42,24,14,6,4,0,13,7,0,76.6,65.0
"Cuningham, David",2021,4,26,9,28,3,2,0,6,2,3,60.8,49.5
"Curnow, Charlie",2021,4,35,16,14,2,5,0,6,1,7,79.0,50.5
"Parks, Luke",2021,6,30,12,15,0,0,0,12,5,5,74.5,32.3
"Honey, Josh",2021,5,24,13,12,6,3,0,6,2,1,57.0,39.4
"Kemp, Brodie",2021,2,14,8,5,0,0,0,3,0,1,81.5,42.5
"McDonald, Oscar",2021,3,8,3,1,2,1,0,2,3,1,16.3,18.7
"Durdin, Corey",2021,2,4,2,4,1,0,0,4,1,0,77.5,24.5
"Crisp, Jack",2021,22,341,148,253,2,5,0,80,16,29,88.5,101.8
"Sidebottom, Steele",2021,21,272,114,228,8,5,0,62,14,24,83.6,88.4
"Maynard, Brayden",2021,22,335,121,126,1,0,0,57,16,26,86.3,81.5
"de Goey, Jordan",2021,20,251,108,169,23,23,0,39,12,18,83.4,84.5
"Pendlebury, Scott",2021,18,197,67,220,4,4,0,69,13,10,78.3,84.4
"Noble, John",2021,22,260,114,149,2,0,0,57,23,14,78.0,74.6
"Mayne, Chris",2021,17,225,128,179,0,0,0,44,12,9,83.7,92.8
"Adams, Taylor",2021,14,195,46,187,2,2,0,78,30,16,76.1,100.4
"Grundy, Brodie",2021,20,185,72,197,12,6,647,84,31,43,80.9,106.4
"Quaynor, Isaac",2021,20,221,95,140,1,2,0,45,18,13,85.7,69.8
"Daicos, Josh",2021,17,173,48,149,9,9,0,53,19,14,79.2,71.4
"Hoskin-Elliott, Will",2021,20,213,124,101,13,2,0,45,6,14,84.9,71.9
"Madgen, Jack",2021,19,159,88,145,1,2,0,19,10,6,79.2,58.3
"Roughead, Jordan",2021,21,190,137,87,0,0,9,35,12,14,95.4,60.7
"Thomas, Josh",2021,20,148,66,118,12,9,0,51,19,7,72.2,58.1
"Mihocek, Brody",2021,21,178,123,50,34,34,0,35,16,19,86.4,63.8
"Moore, Darcy",2021,13,153,107,68,4,1,0,12,9,16,93.2,73.1
"Cameron, Darcy",2021,18,147,99,72,22,9,121,32,20,15,81.8,69.3
"Elliott, Jamie",2021,13,127,61,73,25,8,0,32,10,15,79.3,73.9
"Brown, Callum",2021,15,66,41,107,3,6,0,44,8,5,60.4,48.5
"Poulter, Caleb",2021,11,107,55,58,2,5,0,22,9,6,80.0,63.5
"Bianco, Trent",2021,12,100,53,47,7,5,0,21,5,4,68.3,56.4
"Murphy, Nathan",2021,15,88,50,56,1,3,0,16,16,6,64.8,39.8
"Howe, Jeremy",2021,8,98,46,41,1,0,0,19,6,5,81.9,73.4
"Macrae, Finlay",2021,9,45,26,69,1,0,0,9,2,3,56.2,42.9
"Ruscoe, Trey",2021,9,73,27,33,2,0,0,15,3,7,65.3,46.7
"Brown, Tyler",2021,7,35,14,60,0,0,0,11,1,4,67.6,42.9
"Henry, Oliver",2021,10,61,44,30,7,8,0,9,4,1,69.3,46.2
"Sier, Brayden",2021,7,32,16,54,1,0,0,19,3,0,51.0,48.1
"McCreery, Beau",2021,13,52,24,30,11,6,0,43,3,13,58.7,38.2
"Cox, Mason",2021,7,41,26,25,8,8,23,7,11,5,74.0,50.6
"Keane, Mark",2021,4,31,23,25,0,1,0,1,0,7,86.0,49.0
"Wilson, Tom",2021,4,25,7,23,0,0,0,7,1,5,73.8,39.0
"Ginnivan, Jack",2021,5,38,18,7,6,3,0,4,6,3,75.4,46.8
"Rantall, Jay",2021,5,10,10,19,0,0,0,3,1,2,48.8,21.0
"Greenwood, Levi",2021,2,16,3,9,0,0,0,7,0,4,58.5,45.5
"Lynch, Max",2021,2,9,4,14,0,0,41,5,1,2,78.0,61.5
"Kelly, Will",2021,2,6,4,5,0,0,0,0,2,0,53.5,21.0
