Player,Player_ID,Season_ID,KI,MK,HB,GL,BH,HO,TK,FF,FA,FantasyAve
"McInerney, Justin",497,2021,10.91,5.38,7.14,0.33,0.10,0.05,1.10,1.00,0.91,68.00
"McInerney, Oscar",498,2020,4.79,1.74,3.95,0.32,0.21,19.11,3.00,1.00,0.68,74.50
"McInerney, Oscar",498,2019,3.62,2.62,4.62,0.48,0.33,16.00,2.62,0.76,0.95,55.50
"McInerney, Oscar",498,2021,6.78,2.30,6.30,0.26,0.22,29.22,2.22,1.70,1.26,77.70
"McIntosh, Kamdyn",499,2019,9.50,4.00,4.63,0.44,0.19,0.13,2.88,0.94,0.69,63.10
"McIntosh, Kamdyn",499,2021,10.71,4.06,4.77,0.06,0.24,0.00,2.41,0.77,1.12,61.50
"McIntosh, Kamdyn",499,2020,9.17,3.78,4.39,0.33,0.22,0.00,1.67,0.50,0.61,69.00
"McKay, Ben",500,2020,3.91,3.27,5.36,0.00,0.00,0.18,1.64,0.64,0.55,47.50
"McKay, Ben",500,2021,4.50,4.32,5.05,0.00,0.00,0.00,1.41,0.64,0.77,40.50
"McKay, Harry",501,2020,5.85,4.39,1.62,1.62,1.15,0.00,1.54,1.08,1.31,60.10
"McKay, Harry",501,2021,8.11,5.95,1.63,3.05,1.74,0.32,1.42,1.42,0.95,70.10
"McKay, Harry",501,2019,8.05,6.25,2.30,1.30,1.50,1.00,1.60,1.10,1.30,61.40
"McKenna, Conor",502,2020,9.17,3.00,4.17,0.17,0.00,0.00,1.67,0.33,0.33,64.80
"McKenna, Conor",502,2019,14.32,2.64,6.59,0.09,0.05,0.00,1.55,0.64,0.36,70.40
"McKenzie, Daniel",503,2021,8.75,4.67,6.25,0.42,0.00,0.00,1.67,0.50,1.00,59.40
"McKenzie, Daniel",503,2019,5.60,3.33,5.27,0.00,0.00,0.00,2.27,0.40,0.87,44.20
"McKenzie, Trent",504,2021,13.07,6.00,2.14,0.07,0.00,0.00,1.71,0.43,0.50,67.70
"McKenzie, Trent",504,2020,9.94,4.41,1.65,0.00,0.12,0.00,1.06,0.82,0.59,62.20
"McKernan, Shaun",505,2020,5.33,3.44,2.67,0.56,0.67,4.56,1.22,0.44,2.00,49.40
"McKernan, Shaun",505,2019,8.50,5.06,3.63,1.06,0.69,7.25,1.88,1.00,1.81,65.30
"McLean, Hayden",506,2020,4.00,2.17,2.33,0.83,0.17,2.33,2.50,0.17,0.83,47.90
"McLean, Hayden",506,2021,5.58,4.42,2.92,0.92,0.50,2.50,1.92,0.42,0.42,51.20
"McLean, Toby",507,2020,4.75,1.33,9.00,0.50,0.33,0.00,3.75,1.08,0.83,66.50
"McLean, Toby",507,2019,7.47,3.79,8.21,0.74,0.53,0.00,3.26,1.16,0.74,67.20
"McNeil, Lachlan",508,2021,4.62,1.62,3.92,0.54,0.62,0.00,1.85,0.54,0.54,36.70
"McPherson, Andrew",510,2020,6.22,2.78,6.44,0.00,0.00,0.00,1.67,0.67,0.22,58.20
"McPherson, Andrew",510,2021,8.67,3.00,4.89,0.00,0.00,0.00,1.61,0.44,0.39,50.50
"McStay, Daniel",511,2020,4.71,3.18,2.65,0.65,0.35,0.41,1.59,0.53,0.47,48.80
"McStay, Daniel",511,2021,6.32,4.63,3.74,1.47,0.53,0.42,3.05,1.00,0.47,61.90
"McStay, Daniel",511,2019,5.00,4.17,5.08,0.88,0.67,0.54,2.08,0.38,0.33,51.80
"McVeigh, Jarrad",512,2019,9.50,4.00,8.50,0.17,0.00,0.00,1.17,0.33,0.50,62.00
"Meek, Lloyd",513,2021,2.33,1.33,6.44,0.11,0.22,14.33,1.56,0.78,1.56,41.40
"Melican, Lewis",514,2021,8.83,5.00,3.83,0.00,0.00,0.00,0.83,0.83,0.50,51.80
"Melican, Lewis",514,2020,5.78,2.33,4.11,0.00,0.00,0.00,1.56,0.67,0.67,46.80
"Melican, Lewis",514,2019,6.41,3.29,3.88,0.00,0.00,0.00,2.12,0.65,1.18,42.50
"Melksham, Jake",515,2021,4.83,2.08,4.08,0.67,0.33,0.00,1.50,0.25,0.83,37.00
"Melksham, Jake",515,2019,11.50,5.50,4.33,1.25,1.17,0.00,2.08,0.83,0.92,74.80
"Melksham, Jake",515,2020,6.47,2.88,2.94,0.88,0.47,0.00,1.35,0.65,0.77,54.30
"Membrey, Tim",516,2020,7.17,4.61,3.06,1.11,0.50,0.17,1.50,0.61,0.50,67.40
"Membrey, Tim",516,2021,10.81,7.19,4.05,1.62,1.24,0.57,1.05,0.86,0.48,77.20
"Membrey, Tim",516,2019,8.23,5.64,4.77,2.00,0.77,0.00,1.68,0.77,0.32,70.50
"Menadue, Connor",517,2019,10.33,3.17,3.83,0.00,0.00,0.00,2.17,0.83,0.50,56.20
"Menadue, Connor",517,2021,7.71,5.14,7.00,0.00,0.00,0.00,1.29,0.86,0.29,57.70
"Menegola, Sam",518,2019,10.58,4.83,8.42,0.25,0.50,0.00,3.17,0.58,0.67,76.30
"Menegola, Sam",518,2020,12.43,5.62,8.76,0.76,0.24,0.00,1.52,0.14,0.67,100.90
"Menegola, Sam",518,2021,14.09,5.44,9.09,0.52,0.52,0.00,2.26,0.48,1.04,86.80
"Menzel, Daniel",519,2019,6.71,3.86,3.14,1.00,1.14,0.00,1.29,0.71,0.86,48.40
"Merrett, Zach",520,2020,13.81,4.31,12.44,0.13,0.13,0.00,3.44,0.94,0.75,115.70
"Merrett, Zach",520,2021,15.70,4.22,15.83,0.17,0.30,0.00,4.87,1.78,1.13,110.60
"Merrett, Zach",520,2019,14.70,3.91,13.61,0.35,0.44,0.00,5.39,1.78,0.48,107.50
"Miers, Gryan",521,2021,8.67,3.87,6.80,0.80,0.47,0.00,1.53,0.80,0.27,62.60
"Miers, Gryan",521,2020,8.95,4.43,4.62,0.91,0.29,0.00,1.57,0.57,0.38,76.00
"Miers, Gryan",521,2019,9.16,3.92,6.24,1.12,0.76,0.00,1.92,0.72,0.36,66.50
"Mihocek, Brody",522,2020,6.11,3.78,2.67,1.39,0.50,0.00,1.83,0.67,0.94,61.30
"Mihocek, Brody",522,2021,8.48,5.86,2.38,1.62,1.62,0.00,1.67,0.76,0.91,63.80
"Mihocek, Brody",522,2019,8.88,5.88,4.25,1.50,1.08,0.00,2.04,1.21,0.63,70.30
"Milera, Wayne",523,2019,10.82,5.47,7.35,0.35,0.41,0.00,3.06,0.53,0.59,77.10
"Miles, Anthony",524,2019,14.00,3.82,7.41,0.35,0.53,0.00,3.88,2.24,1.12,85.40
"Miller, Touk",525,2020,10.41,2.94,9.59,0.18,0.24,0.00,5.18,1.82,0.82,100.70
"Miller, Touk",525,2019,10.17,4.50,12.17,0.22,0.17,0.00,5.72,1.00,1.00,90.70
"Miller, Touk",525,2021,15.91,4.52,15.91,0.38,0.38,0.05,7.10,1.67,1.24,122.10
"Mills, Callum",526,2020,10.93,5.13,7.13,0.00,0.07,0.00,3.27,1.20,1.00,92.30
"Mills, Callum",526,2021,14.22,5.94,13.28,0.33,0.06,0.00,5.28,1.22,0.61,109.60
"Mills, Callum",526,2019,10.50,6.18,7.91,0.05,0.00,0.00,2.64,0.27,0.55,75.30
"Mitchell, Tom",529,2020,10.12,3.06,15.12,0.12,0.06,0.00,4.41,1.18,1.06,107.70
"Mitchell, Tom",529,2021,14.59,4.46,19.68,0.36,0.23,0.00,4.77,1.09,1.32,115.10
"Moore, Darcy",531,2021,11.77,8.23,5.23,0.31,0.08,0.00,0.92,0.69,1.23,73.10
"Moore, Darcy",531,2019,9.35,4.65,5.47,0.00,0.06,0.00,1.53,1.00,1.00,57.10
"Moore, Darcy",531,2020,8.11,4.83,5.11,0.00,0.00,0.00,0.78,0.72,0.61,63.80
"Moore, Dylan",532,2019,5.14,4.43,6.71,0.29,0.29,0.00,2.86,0.71,0.71,54.10
"Moore, Dylan",532,2021,8.00,3.80,7.35,1.35,0.55,0.00,2.90,1.35,0.45,70.40
"Morrison, Harry",534,2019,7.11,3.00,5.78,0.00,0.11,0.00,3.22,0.44,0.56,53.70
"Morrison, Harry",534,2020,8.36,3.46,5.82,0.00,0.09,0.00,1.73,0.46,0.73,65.50
"Morrison, Harry",534,2021,8.27,4.47,7.13,0.47,0.13,0.00,2.27,0.47,0.93,62.10
"Motlop, Steven",536,2020,6.00,2.36,4.64,0.93,0.14,0.00,1.71,0.29,0.79,56.10
"Motlop, Steven",536,2019,9.21,3.50,6.79,0.50,0.36,0.00,2.79,0.50,0.50,65.20
"Motlop, Steven",536,2021,8.90,4.26,6.74,0.68,0.42,0.00,2.47,0.68,0.58,66.30
"Mumford, Shane",537,2020,1.40,1.10,6.60,0.10,0.00,20.60,3.50,1.40,2.80,61.10
"Mumford, Shane",537,2021,3.14,1.36,7.00,0.29,0.00,26.00,4.86,1.93,1.86,71.00
"Mumford, Shane",537,2019,2.90,1.30,6.60,0.00,0.15,30.90,4.20,1.75,3.90,63.70
"Mundy, David",538,2020,8.19,2.06,9.94,0.25,0.06,0.00,3.69,0.44,0.56,82.10
"Mundy, David",538,2021,11.27,3.09,13.86,0.68,0.32,0.00,3.96,0.82,0.96,89.00
"Mundy, David",538,2019,10.46,2.73,12.36,0.36,0.32,0.00,3.91,0.55,0.91,80.20
"Murdoch, Jordan",539,2019,9.21,3.29,4.07,0.07,0.21,0.00,2.29,0.93,0.29,55.50
"Murphy, Lachlan",540,2020,4.75,1.42,4.50,0.58,0.67,0.00,3.17,1.17,0.58,54.70
"Murphy, Lachlan",540,2021,6.67,1.67,5.07,0.60,1.00,0.00,2.27,1.47,0.60,48.50
"Murphy, Lachlan",540,2019,6.33,2.76,4.38,0.91,0.71,0.00,3.24,1.57,0.52,55.10
"Murphy, Marc",541,2021,7.67,3.13,5.07,0.53,0.27,0.00,1.60,0.53,0.27,52.10
"Murphy, Marc",541,2020,10.47,3.71,7.94,0.24,0.41,0.00,2.18,0.65,1.06,83.00
"Murphy, Marc",541,2019,14.68,4.63,10.74,0.63,0.16,0.00,3.42,1.16,0.84,95.70
"Murphy, Nathan",542,2021,5.87,3.33,3.73,0.07,0.20,0.00,1.07,1.07,0.40,39.80
"Murray, Nick",544,2021,5.39,2.23,1.54,0.08,0.08,0.08,1.39,1.00,0.77,30.80
"Myers, David",546,2019,7.29,2.14,7.57,0.14,0.29,0.00,3.00,0.14,0.86,54.10
"Naish, Patrick",547,2021,4.50,1.50,3.67,0.33,0.00,0.00,1.67,0.50,0.17,34.00
"Naitanui, Nic",549,2020,6.41,0.77,4.88,0.29,0.24,29.18,2.35,1.24,1.12,87.20
"Naitanui, Nic",549,2021,7.00,1.55,8.23,0.14,0.32,31.23,2.96,1.36,0.77,85.30
"Nankervis, Toby",550,2020,5.64,2.36,5.82,0.27,0.09,16.91,4.09,1.18,1.55,84.00
"Nankervis, Toby",550,2019,6.33,2.33,6.58,0.33,0.17,21.75,3.58,1.00,1.75,73.20
"Nankervis, Toby",550,2021,7.13,3.06,9.56,0.06,0.31,22.50,3.56,1.38,1.75,83.30
"Narkle, Quinton",551,2019,9.83,2.33,7.33,0.83,0.67,0.00,3.00,0.83,0.50,68.20
"Narkle, Quinton",551,2021,5.38,2.31,8.06,0.25,0.25,0.00,1.56,0.19,0.38,46.30
"Nash, Conor",552,2021,6.38,3.25,7.38,0.25,0.13,0.00,2.88,0.38,1.25,53.40
"Nash, Conor",552,2019,3.79,1.86,5.07,0.64,0.29,0.00,2.71,0.57,0.71,40.50
"Naughton, Aaron",553,2020,3.83,3.50,3.17,1.25,0.50,0.00,0.75,0.33,0.50,47.70
"Naughton, Aaron",553,2019,7.39,5.74,3.48,1.39,1.17,0.87,1.83,1.13,0.70,63.10
"Naughton, Aaron",553,2021,7.44,6.12,3.76,1.88,1.60,0.08,1.56,0.84,0.64,66.30
"Neal-Bullen, Alex",554,2020,5.14,2.00,3.86,1.00,0.00,0.00,2.29,0.14,0.71,52.90
"Neal-Bullen, Alex",554,2019,7.71,2.57,5.43,0.50,0.64,0.00,4.21,0.64,0.43,61.60
"Neal-Bullen, Alex",554,2021,10.20,3.20,6.12,0.60,0.44,0.00,4.44,1.20,0.76,73.20
"Neale, Lachie",555,2021,12.94,3.88,14.06,0.47,0.35,0.00,4.12,2.06,1.00,97.30
"Neale, Lachie",555,2020,13.11,4.21,13.79,0.74,0.68,0.00,3.11,1.11,0.63,120.30
"Neale, Lachie",555,2019,12.54,4.08,18.38,0.50,0.29,0.00,3.75,1.50,0.96,103.50
"Nelson, Jackson",556,2019,7.92,3.62,3.77,0.00,0.00,0.00,1.77,0.31,0.69,47.50
"Nelson, Jackson",556,2020,10.00,4.07,3.60,0.00,0.00,0.00,2.07,0.47,0.40,71.20
"Nelson, Jackson",556,2021,9.26,4.00,3.00,0.00,0.05,0.00,1.37,0.21,0.37,50.40
"Newcombe, Jai",557,2021,4.57,2.43,4.29,0.14,0.14,0.00,5.57,0.57,1.14,50.00
"Newman, Nic",558,2021,14.21,6.14,5.43,0.00,0.07,0.00,3.86,1.29,0.79,86.40
"Newman, Nic",558,2019,16.40,6.75,5.00,0.30,0.10,0.00,3.30,0.90,0.70,93.40
"Newnes, Jack",559,2020,8.18,3.12,4.88,0.77,0.24,0.00,2.59,0.41,0.65,71.60
"Newnes, Jack",559,2021,9.90,4.90,6.53,0.21,0.47,0.00,1.79,1.05,0.63,65.50
"Newnes, Jack",559,2019,10.90,4.45,6.40,0.25,0.50,0.00,2.65,0.50,1.00,69.00
"Noble, John",560,2020,9.47,3.29,6.82,0.12,0.00,0.00,1.71,0.82,0.59,73.20
"Noble, John",560,2021,11.82,5.18,6.77,0.09,0.00,0.00,2.59,1.05,0.64,74.60
"OBrien, Lochie",562,2019,9.35,4.71,3.06,0.41,0.24,0.00,1.12,0.29,0.82,53.30
"OBrien, Reilly",563,2020,6.29,3.77,7.35,0.00,0.18,27.24,4.00,1.12,0.94,108.20
"OBrien, Reilly",563,2019,7.00,3.33,8.33,0.11,0.22,33.17,4.28,1.83,1.78,95.30
"OBrien, Reilly",563,2021,6.90,3.55,7.80,0.10,0.00,29.25,2.75,1.25,1.00,86.10
"OBrien, Tim",564,2020,5.13,2.94,2.13,0.75,0.19,2.13,1.75,0.81,0.75,51.00
"OBrien, Tim",564,2019,8.81,4.44,3.94,0.75,0.56,1.06,1.38,1.63,0.56,59.20
"OBrien, Tim",564,2021,7.74,4.74,3.79,0.63,0.26,0.63,1.68,0.95,0.84,54.80
"OConnor, Mark",565,2021,7.93,3.43,6.79,0.07,0.00,0.00,2.86,0.79,0.93,57.50
"OConnor, Mark",565,2020,7.52,4.14,3.81,0.10,0.00,0.00,1.48,0.52,0.52,60.10
"OConnor, Mark",565,2019,8.48,4.52,5.52,0.04,0.00,0.00,2.65,0.61,0.57,59.80
"OHalloran, Xavier",567,2021,7.29,2.47,3.29,0.29,0.18,0.00,1.29,0.59,0.47,42.20
"Oliver, Clayton",568,2020,11.47,3.35,13.53,0.18,0.06,0.00,5.41,1.29,1.29,114.60
"Oliver, Clayton",568,2019,11.27,3.73,18.77,0.18,0.18,0.00,6.32,1.27,1.50,105.90
"Oliver, Clayton",568,2021,14.32,3.56,17.24,0.44,0.72,0.00,5.44,1.72,1.84,109.40
"OMeara, Jaeger",569,2020,11.67,2.92,9.17,0.33,0.33,0.00,4.17,0.50,1.92,94.80
"OMeara, Jaeger",569,2021,12.89,4.11,13.39,0.28,0.50,0.00,5.06,0.89,1.72,95.90
"OMeara, Jaeger",569,2019,15.57,3.62,10.24,0.38,0.52,0.00,5.86,0.91,1.86,99.60
"ONeill, Xavier",570,2021,5.88,2.00,4.63,0.13,0.13,0.00,1.88,0.50,0.25,41.00
"ORiordan, Colin",571,2021,5.00,2.17,2.50,0.00,0.00,0.00,1.00,0.50,0.00,31.00
"ORiordan, Colin",571,2020,4.88,2.50,4.63,0.00,0.00,0.00,1.63,0.38,0.63,45.50
"ORiordan, Colin",571,2019,7.17,4.33,6.92,0.08,0.08,0.00,2.25,0.92,1.08,55.60
"Owies, Matthew",573,2021,5.31,3.31,3.54,1.15,1.31,0.00,2.92,0.77,0.54,52.00
"Papley, Tom",574,2020,8.71,3.35,3.06,1.53,1.59,0.00,1.71,1.12,0.94,72.70
"Papley, Tom",574,2019,10.96,4.82,4.50,1.68,1.27,0.00,2.82,1.09,0.91,77.30
"Papley, Tom",574,2021,10.00,3.87,3.61,1.87,1.17,0.00,1.48,0.91,0.96,65.20
"Parfitt, Brandan",575,2020,8.22,1.72,7.28,0.44,0.33,0.00,5.94,0.72,1.17,85.50
"Parfitt, Brandan",575,2019,9.50,1.95,8.70,0.20,0.20,0.00,5.25,1.20,1.10,72.10
"Parfitt, Brandan",575,2021,9.78,1.39,9.00,0.35,0.30,0.00,5.57,1.52,1.26,73.90
"Parish, Darcy",576,2020,8.59,1.59,10.59,0.41,0.24,0.00,3.06,0.29,0.53,81.70
"Parish, Darcy",576,2019,10.62,2.91,10.00,0.57,0.43,0.00,3.81,0.62,0.29,79.40
"Parish, Darcy",576,2021,14.83,4.17,15.65,0.44,0.35,0.00,3.91,0.57,0.44,106.20
"Parker, Luke",577,2020,11.18,3.18,11.00,0.35,0.29,0.00,4.94,1.29,1.24,106.00
"Parker, Luke",577,2019,13.73,4.14,11.64,0.59,0.32,0.00,5.18,1.27,1.46,98.40
"Parker, Luke",577,2021,12.96,3.78,14.91,0.65,0.35,0.00,4.61,1.70,1.52,99.90
"Parker, Matthew",578,2021,7.83,3.00,5.33,0.50,0.50,0.00,4.83,0.17,1.00,63.20
"Parker, Matthew",578,2019,7.00,2.94,3.59,0.94,0.77,0.00,3.00,1.24,1.12,53.30
"Parks, Luke",579,2021,5.00,2.00,2.50,0.00,0.00,0.00,2.00,0.83,0.83,32.30
"Paton, Ben",581,2019,8.39,3.85,6.31,0.08,0.00,0.00,2.69,0.77,0.62,59.50
"Paton, Ben",581,2020,7.63,4.32,4.84,0.00,0.00,0.00,1.05,0.79,0.47,61.40
"Patton, Jonathon",582,2020,3.00,1.83,1.83,0.50,0.33,0.83,0.67,0.67,1.00,28.30
"Payne, Jack",583,2021,7.30,4.90,4.60,0.00,0.00,0.00,1.60,0.20,0.50,50.90
"Pearce, Alex",584,2021,5.60,2.70,4.00,0.00,0.10,0.10,1.00,1.20,0.50,36.80
"Pearce, Alex",584,2019,5.09,3.27,5.73,0.00,0.00,0.00,2.18,1.00,0.82,43.80
"Pendlebury, Scott",587,2020,11.67,2.53,11.93,0.07,0.13,0.07,3.00,1.27,0.20,99.70
"Pendlebury, Scott",587,2021,10.94,3.72,12.22,0.22,0.22,0.00,3.83,0.72,0.56,84.40
"Pendlebury, Scott",587,2019,14.38,4.38,12.92,0.50,0.33,0.00,4.67,1.25,0.38,104.20
"Perkins, Archie",589,2021,5.52,2.76,5.81,0.43,0.67,0.00,2.00,0.62,0.62,46.50
"Perryman, Harry",590,2020,10.63,3.81,7.75,0.69,0.13,0.00,2.00,0.63,0.50,87.70
"Perryman, Harry",590,2021,14.89,5.11,7.33,0.22,0.28,0.00,2.17,0.67,0.33,84.60
"Perryman, Harry",590,2019,11.26,5.26,7.11,0.11,0.37,0.00,3.11,0.63,0.26,77.10
"Petracca, Christian",591,2020,11.82,3.41,11.71,0.88,0.82,0.00,3.24,1.06,0.94,108.00
"Petracca, Christian",591,2019,9.64,4.05,9.05,1.00,0.64,0.23,2.96,0.73,0.91,75.80
"Petracca, Christian",591,2021,16.36,5.04,12.84,1.16,0.76,0.00,4.12,0.92,1.16,111.50
"Petrevski-Seton, Sam",592,2021,9.57,4.00,4.57,0.07,0.21,0.00,1.86,0.50,0.50,56.90
"Petrevski-Seton, Sam",592,2020,9.69,3.06,3.88,0.00,0.00,0.00,2.25,0.63,0.50,67.70
"Petrevski-Seton, Sam",592,2019,11.14,3.96,7.96,0.18,0.18,0.00,4.36,0.55,0.91,77.70
"Petruccelle, Jack",593,2020,3.67,1.50,3.33,0.33,0.83,0.00,1.17,0.33,0.00,37.50
"Petruccelle, Jack",593,2021,6.35,3.47,4.06,0.94,0.47,0.00,1.59,0.29,0.77,48.10
"Petruccelle, Jack",593,2019,7.15,3.50,3.00,1.05,0.75,0.00,1.90,0.35,0.70,50.90
"Petty, Harry",594,2019,5.50,4.30,3.80,0.60,0.50,0.10,2.10,1.20,0.60,49.00
"Petty, Harry",594,2021,5.63,3.58,2.84,0.00,0.00,0.00,1.63,0.58,0.90,37.70
"Phillips, Andrew",595,2021,5.33,4.00,5.00,0.67,0.17,20.50,3.83,1.33,1.33,75.30
"Phillips, Tom",597,2020,9.40,3.07,6.93,0.33,0.47,0.00,2.33,1.07,0.27,79.20
"Phillips, Tom",597,2021,10.96,4.23,7.50,0.59,0.23,0.00,2.14,1.05,0.27,73.10
"Phillips, Tom",597,2019,15.50,5.33,8.33,0.50,0.42,0.00,2.21,0.67,0.25,91.30
"Phillips, Will",598,2021,4.44,1.94,5.06,0.19,0.25,0.00,2.06,0.44,0.31,38.40
"Pickett, Kysaiah",600,2020,4.43,1.21,3.36,0.50,0.93,0.00,2.50,0.36,1.29,42.60
"Pickett, Kysaiah",600,2021,7.72,2.36,4.12,1.60,1.12,0.00,3.48,0.80,0.84,61.40
"Pickett, Marlion",601,2021,6.61,3.50,9.06,0.11,0.22,0.89,3.44,0.61,1.89,58.90
"Pickett, Marlion",601,2020,6.26,2.26,5.95,0.21,0.21,0.00,3.63,0.37,0.68,64.70
"Pittard, Jasper",602,2020,9.55,3.00,4.55,0.36,0.00,0.00,1.55,1.18,0.36,69.00
"Pittard, Jasper",602,2019,10.82,5.96,7.50,0.05,0.00,0.00,1.68,0.64,0.50,71.50
"Pittonet, Marc",603,2021,5.15,2.00,6.15,0.39,0.39,29.15,2.15,1.31,1.85,70.00
"Pittonet, Marc",603,2020,4.54,1.77,3.85,0.00,0.23,22.46,1.92,1.15,1.15,68.40
"Plowman, Lachie",604,2020,7.25,3.38,2.94,0.00,0.13,0.00,1.88,0.69,0.56,55.50
"Plowman, Lachie",604,2021,8.42,4.47,3.11,0.05,0.00,0.00,1.05,0.74,0.68,48.10
"Plowman, Lachie",604,2019,10.48,4.57,4.05,0.00,0.00,0.00,2.29,0.86,0.43,62.00
"Polec, Jared",606,2020,12.46,3.23,6.77,0.23,0.23,0.00,2.62,0.92,0.62,89.70
"Polec, Jared",606,2019,15.36,4.59,7.77,0.73,0.55,0.00,2.41,0.55,0.77,88.20
"Poulter, Caleb",609,2021,9.73,5.00,5.27,0.18,0.46,0.00,2.00,0.82,0.55,63.50
"Powell, Tom",610,2021,8.23,3.62,8.46,0.31,0.15,0.00,3.69,0.54,0.54,68.20
"Powell, Wil",611,2019,6.77,3.54,5.39,0.54,0.39,0.00,2.69,0.92,0.69,54.90
"Powell, Wil",611,2020,6.80,3.33,6.33,0.13,0.00,0.00,1.67,0.47,0.40,62.30
"Powell, Wil",611,2021,11.77,5.23,6.00,0.05,0.05,0.00,2.46,0.96,0.64,72.20
"Powell-Pepper, Sam",612,2021,7.19,2.44,6.50,0.63,0.50,0.00,3.81,0.81,1.13,58.80
"Powell-Pepper, Sam",612,2020,6.47,1.90,8.26,0.37,0.63,0.00,4.05,0.47,1.21,71.90
"Powell-Pepper, Sam",612,2019,9.84,2.63,9.00,0.53,0.95,0.00,4.84,0.74,1.47,75.20
"Prestia, Dion",613,2021,10.33,3.22,11.89,0.11,0.33,0.00,4.11,1.89,0.89,81.10
"Prestia, Dion",613,2020,9.44,1.33,10.11,0.44,0.00,0.00,3.89,0.89,1.33,84.60
"Prestia, Dion",613,2019,15.44,3.44,12.00,0.28,0.60,0.00,4.92,1.28,1.16,100.40
"Preuss, Braydon",614,2019,7.00,2.14,2.43,0.57,0.29,19.00,1.00,1.14,1.29,56.30
"Prior, Jaxon",615,2021,6.44,2.50,2.44,0.33,0.22,0.00,1.33,0.61,0.28,39.10
"Puopolo, Paul",616,2020,4.50,1.17,4.50,0.67,0.17,0.00,2.50,1.00,0.33,50.20
"Puopolo, Paul",616,2019,5.27,1.86,6.73,0.46,0.46,0.00,4.50,0.82,0.73,54.70
"Quaynor, Isaac",617,2020,6.73,3.00,6.73,0.00,0.00,0.00,2.27,0.46,0.09,64.90
"Quaynor, Isaac",617,2021,11.05,4.75,7.00,0.05,0.10,0.00,2.25,0.90,0.65,69.80
"Ralphsmith, Hugo",618,2021,4.50,1.17,3.67,0.50,0.33,0.00,0.83,0.17,0.33,30.20
"Rampe, Dane",619,2020,9.55,3.82,5.09,0.00,0.00,0.00,1.36,0.82,1.36,65.60
"Rampe, Dane",619,2021,12.40,6.15,5.65,0.00,0.05,0.00,1.70,0.70,1.20,70.90
"Rampe, Dane",619,2019,12.62,5.86,7.38,0.00,0.05,0.00,2.86,0.67,1.10,79.00
"Rankine, Izak",621,2020,7.50,2.17,4.00,1.00,1.42,0.00,1.75,1.00,1.25,60.80
"Rankine, Izak",621,2021,6.67,2.83,5.11,0.89,0.61,0.00,2.56,0.89,1.56,51.10
"Ratugolea, Esava",623,2020,5.00,2.67,3.67,0.42,0.42,6.08,2.50,1.17,0.67,60.60
"Ratugolea, Esava",623,2021,4.20,2.13,3.47,0.73,0.33,6.20,2.00,1.20,0.87,43.50
"Ratugolea, Esava",623,2019,5.15,2.65,3.60,0.75,0.75,6.30,2.30,1.70,0.65,51.10
"Rayner, Cam",624,2020,5.00,3.00,4.82,1.00,0.41,0.00,3.18,0.71,0.65,64.40
"Rayner, Cam",624,2019,5.79,2.46,3.75,0.83,1.04,0.00,2.17,1.04,0.71,45.90
"Redden, Jack",625,2020,7.54,3.39,8.15,0.08,0.08,0.00,2.39,0.92,0.62,72.80
"Redden, Jack",625,2021,11.56,5.78,13.06,0.17,0.06,0.00,3.94,1.11,0.72,93.90
"Redden, Jack",625,2019,10.91,4.83,12.04,0.00,0.17,0.00,5.61,1.13,1.09,91.80
"Redman, Mason",626,2020,7.23,3.15,5.00,0.08,0.08,0.00,1.69,0.46,0.85,58.00
"Redman, Mason",626,2019,11.55,4.45,5.45,0.00,0.10,0.00,3.05,0.85,1.00,69.10
"Redman, Mason",626,2021,11.14,4.59,6.46,0.27,0.09,0.00,2.00,0.50,0.77,68.00
"Reid, Ben",628,2019,5.63,3.38,4.00,1.38,0.88,3.63,1.13,1.38,0.88,51.00
"Reid, Sam",630,2021,6.20,4.50,4.70,0.60,0.60,7.80,2.80,1.40,0.60,64.30
"Reid, Sam",630,2020,4.30,3.80,4.10,0.50,0.60,2.60,1.50,0.30,0.20,55.50
"Reid, Sam",630,2021,4.27,1.67,3.87,0.27,0.27,0.00,2.33,0.47,1.00,34.20
"Reid, Sam",630,2019,6.50,5.00,4.96,1.27,0.59,5.73,2.86,0.91,0.41,69.50
"Reid, Sam",630,2019,8.65,4.81,6.35,0.12,0.08,0.00,2.46,0.42,1.04,61.00
"Riccardi, Jake",632,2021,4.89,2.67,4.11,0.22,0.11,0.22,0.33,0.22,0.11,33.80
"Rich, Daniel",633,2020,14.53,4.93,2.53,0.27,0.13,0.00,1.27,0.60,0.33,87.30
"Rich, Daniel",633,2021,21.42,5.71,4.58,0.13,0.42,0.00,1.75,0.50,0.46,97.80
"Rich, Daniel",633,2019,18.00,5.71,4.50,0.17,0.17,0.00,2.00,0.63,1.00,86.90
"Richards, Ed",634,2020,5.47,1.41,5.29,0.35,0.41,0.00,2.00,0.71,0.59,50.90
"Richards, Ed",634,2019,6.90,2.80,4.75,0.45,0.65,0.00,2.35,0.60,0.55,50.30
"Ridley, Jordan",635,2019,10.83,7.00,4.00,0.00,0.00,0.00,1.83,0.17,0.33,68.00
"Ridley, Jordan",635,2020,12.41,6.47,5.47,0.00,0.12,0.00,1.18,0.59,0.47,89.50
"Ridley, Jordan",635,2021,15.46,5.96,5.64,0.00,0.00,0.00,1.32,0.73,0.59,79.70
