Player,Player_ID,Season_ID,KI,MK,HB,GL,BH,HO,TK,FF,FA,FantasyAve
"Kennedy, Matthew",407,2020,9.00,3.71,7.14,0.29,0.14,0.00,2.86,0.71,0.29,82.00
"Kennedy, Matthew",407,2019,6.20,2.70,4.50,1.10,0.50,0.00,1.60,0.70,0.40,48.70
"Kennedy, Matthew",407,2021,10.62,4.62,7.77,0.46,0.15,0.00,4.15,0.85,0.77,79.30
"Kent, Dean",408,2021,8.00,5.00,5.71,0.71,0.86,0.00,3.14,0.43,1.00,65.60
"Kent, Dean",408,2019,9.54,4.54,3.23,0.92,1.08,0.00,1.85,0.54,0.62,61.40
"Kent, Dean",408,2020,6.40,3.20,3.07,0.67,0.33,0.00,1.93,0.60,0.40,58.00
"King, Ben",410,2019,4.64,3.43,2.43,1.21,0.64,0.00,0.71,0.71,0.43,39.30
"King, Ben",410,2020,5.18,2.82,1.94,1.47,1.18,0.00,0.41,0.71,0.59,48.10
"King, Ben",410,2021,5.73,4.09,2.46,2.14,1.14,0.18,0.77,0.82,0.50,50.90
"King, Max",411,2020,4.67,3.17,2.94,1.22,1.11,0.94,1.22,0.56,0.67,52.80
"King, Max",411,2021,6.30,4.50,3.35,1.90,1.50,0.55,0.80,0.90,0.70,54.60
"Knight, Riley",412,2019,7.60,4.87,8.07,0.60,0.33,0.00,3.93,0.53,0.67,71.70
"Kolodjashnij, Jake",413,2020,7.35,4.53,3.06,0.00,0.18,0.00,1.47,0.12,0.65,57.50
"Kolodjashnij, Jake",413,2021,7.50,5.46,4.73,0.05,0.00,0.00,1.23,0.32,0.68,51.80
"Kolodjashnij, Jake",413,2019,7.26,4.74,3.74,0.00,0.04,0.00,1.44,0.57,0.44,48.50
"Koschitzke, Jacob",415,2021,4.90,3.85,3.25,1.35,0.95,0.05,1.85,0.65,0.35,48.90
"Kreuzer, Matthew",417,2019,8.47,2.00,4.60,0.33,0.33,31.13,2.27,1.60,0.53,83.10
"Ladhams, Peter",418,2020,6.00,2.10,7.20,0.60,0.20,12.40,1.90,1.70,2.20,72.00
"Ladhams, Peter",418,2021,7.59,3.41,6.00,0.77,0.29,13.41,2.35,1.41,1.18,70.60
"Laird, Rory",419,2020,10.94,2.71,11.94,0.18,0.06,0.00,4.06,1.12,1.18,99.70
"Laird, Rory",419,2021,14.27,3.73,17.73,0.14,0.36,0.00,5.91,1.73,1.50,111.50
"Laird, Rory",419,2019,14.64,5.68,13.68,0.00,0.05,0.00,2.14,0.96,0.32,96.90
"Lambert, Kane",420,2021,10.54,4.15,10.08,0.46,0.31,0.00,3.08,0.62,1.00,77.20
"Lambert, Kane",420,2020,6.85,3.05,8.75,0.50,0.15,0.00,3.40,0.55,0.70,78.00
"Lambert, Kane",420,2019,10.52,4.62,11.14,0.86,0.29,0.00,3.33,0.62,0.48,85.70
"Lang, Darcy",421,2019,5.50,3.00,2.38,0.63,0.63,0.00,3.00,0.75,0.50,45.90
"Langdon, Ed",422,2020,12.71,5.18,7.35,0.12,0.47,0.00,1.29,0.35,0.71,91.20
"Langdon, Ed",422,2019,14.55,5.96,10.46,0.41,0.46,0.00,1.91,0.36,0.41,92.10
"Langdon, Ed",422,2021,13.13,5.42,8.71,0.54,0.38,0.00,1.88,0.63,0.33,83.80
"Langdon, Tom",423,2019,7.78,5.00,10.11,0.00,0.11,0.00,2.00,0.44,0.67,65.10
