Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Baker, Oskar",2019,9,79,40,45,2,4,0,15,2,10,70.6,55
"Ballard, Charlie",2021,21,227,140,61,0,0,0,25,20,16,92.7,61.7
"Ballard, Charlie",2020,16,114,68,44,0,0,0,13,7,9,92.4,52
"Ballard, Charlie",2019,21,211,111,63,0,1,0,23,13,17,88.7,54.6
"Ballenden, Connor",2021,1,3,2,1,0,0,1,0,1,2,55,13
"Ballenden, Connor",2020,2,5,5,4,1,1,5,1,1,1,71.5,32.5
"Balta, Noah",2021,14,129,65,54,2,1,14,18,7,10,79.9,54.7
"Balta, Noah",2020,17,132,65,52,1,1,3,16,11,16,94.5,53.8
"Balta, Noah",2019,13,87,30,34,6,4,91,29,14,21,70.4,47.5
"Banfield, Bailey",2021,6,29,12,27,4,2,0,14,3,6,74.2,40.7
"Banfield, Bailey",2020,5,26,8,21,2,0,0,18,8,3,81.8,56.8
"Banfield, Bailey",2019,7,39,18,54,2,1,0,30,10,12,74,55.1
"Barrass, Tom",2021,16,168,117,53,0,0,1,10,14,6,87.1,62.4
"Barrass, Tom",2020,18,144,94,37,0,0,0,4,12,8,89.9,55
"Barrass, Tom",2019,14,131,86,30,0,0,13,11,14,10,83.4,53.7
"Bastinac, Ryan",2019,3,26,16,8,2,0,0,4,1,3,77.3,54
"Battle, Josh",2021,16,113,61,73,3,7,2,46,13,11,64.6,53.7
"Battle, Josh",2020,14,108,52,34,12,9,6,26,10,8,70.4,64.7
"Battle, Josh",2019,19,204,115,76,3,1,0,52,14,18,78.6,68.2
"Beams, Dayne",2019,9,124,38,102,5,4,0,19,13,4,78.9,89
"Bedford, Toby",2020,2,6,3,10,0,1,0,4,0,3,61,34.4
"Begley, Josh",2020,1,3,2,2,1,0,0,4,1,1,84,48.8
"Begley, Josh",2019,8,61,28,32,6,7,0,15,7,9,84.5,51.8
"Bell, James",2021,12,38,24,37,2,2,0,25,7,5,52.6,30.5
"Bell, James",2020,8,37,13,32,3,2,0,28,7,8,69.8,51.4
"Bell, James",2019,2,9,7,5,1,1,0,5,1,4,69,37
"Bellchambers, Tom",2020,7,30,10,11,1,0,139,10,9,7,81.3,56.3
"Bellchambers, Tom",2019,16,105,52,75,6,4,407,30,28,27,80.3,70.9
"Bennell, Harley",2020,5,26,7,28,3,2,0,5,1,2,68.4,47.5
"Bergman, Miles",2021,23,199,101,126,7,7,0,42,16,5,69.8,59.6
"Berry, Jarrod",2021,11,75,24,63,5,2,0,34,14,15,61.9,50.9
"Berry, Jarrod",2020,17,155,70,116,7,10,0,64,20,21,77.5,86.2
"Berry, Jarrod",2019,20,211,89,181,8,10,0,76,37,17,77.5,80.5
"Berry, Sam",2021,17,60,27,94,5,9,0,69,12,17,71.7,42.6
"Berry, Tom",2021,11,14,6,23,2,1,0,20,2,5,31.2,16.9
"Berry, Tom",2020,6,16,10,25,0,2,0,12,2,4,71.5,35
"Betts, Eddie",2021,19,121,42,59,27,16,0,31,8,14,79.2,46.1
"Betts, Eddie",2020,15,89,24,44,13,13,0,41,8,8,84.4,55.5
"Betts, Eddie",2019,21,155,49,96,37,21,0,52,13,12,84.6,58.7
"Bewley, Brett",2021,6,43,16,32,2,0,0,12,5,3,61.5,49.5
"Bewley, Brett",2020,12,100,40,74,5,0,0,21,6,1,83.8,71.4
"Bewley, Brett",2019,7,60,22,36,1,3,0,17,2,5,69.6,54.6
"Bews, Jed",2021,25,219,116,125,3,2,0,50,17,15,81,57.9
"Bews, Jed",2020,20,146,65,72,3,2,0,35,12,10,85.9,57.4
"Bews, Jed",2019,12,94,33,35,3,3,0,30,8,6,83.7,48.5
"Bianco, Trent",2021,12,100,53,47,7,5,0,21,5,4,68.3,56.4
"Billings, Jack",2021,18,218,113,143,14,14,0,35,14,10,84.3,83.4
"Billings, Jack",2020,19,205,78,147,11,6,0,47,13,6,86.1,92
"Billings, Jack",2019,22,316,132,250,13,10,0,65,11,12,88.6,98.5
"Birchall, Grant",2021,23,307,159,118,2,0,0,23,3,9,79.8,74.5
"Birchall, Grant",2020,16,150,69,53,0,0,0,16,6,4,72.4,64.1
"Birchall, Grant",2019,3,35,16,27,1,1,0,2,0,1,61,73
"Blakely, Connor",2021,13,50,30,66,1,2,0,11,8,5,35.9,32.1
"Blakely, Connor",2020,5,26,12,49,0,0,0,12,5,3,58.6,64
"Blakely, Connor",2019,14,156,72,121,0,0,0,32,14,7,84,74.8
"Blakey, Nick",2021,17,138,65,75,3,6,12,28,7,6,63.9,52.7
"Blakey, Nick",2020,16,126,36,36,8,13,0,36,15,8,76,58.9
"Blakey, Nick",2019,21,153,50,68,19,14,0,48,31,19,78.9,49.5
"Blicavs, Mark",2021,24,164,94,166,5,0,283,67,32,23,88.5,68.8
"Blicavs, Mark",2020,21,132,70,131,3,1,181,59,22,22,87,75
"Blicavs, Mark",2019,25,182,124,154,0,3,91,90,23,14,91,66.4
"Boak, Travis",2021,23,305,67,335,8,18,0,110,37,25,81.1,98
"Boak, Travis",2020,19,217,51,219,8,8,0,72,13,7,77.5,103.8
"Boak, Travis",2019,21,306,70,331,10,13,1,102,25,26,79.8,105.7
"Bolton, Shai",2021,20,208,82,185,23,20,0,55,13,26,81.4,77.7
"Bolton, Shai",2020,19,181,58,120,15,11,0,54,11,22,82.7,80.2
"Bolton, Shai",2019,19,143,58,123,15,12,0,65,9,22,79.9,60.7
"Bonar, Aiden",2021,10,72,36,35,0,0,0,16,4,8,72.6,43.8
"Bonar, Aiden",2020,6,24,10,29,0,0,0,11,4,3,70.2,41.5
"Bonar, Aiden",2019,2,11,5,8,0,0,0,5,0,0,63.5,42
"Bonner, Riley",2021,14,206,67,73,2,1,0,16,5,9,77.2,72.9
"Bonner, Riley",2020,9,97,33,25,0,0,0,7,1,8,79.1,61.8
"Bonner, Riley",2019,19,247,82,93,5,5,0,27,5,18,81.9,66.7
"Bontempelli, Marcus",2021,26,396,104,299,31,19,8,127,41,37,84.3,105.7
"Bontempelli, Marcus",2020,18,211,59,164,11,7,1,88,15,23,86.2,104.9
"Bontempelli, Marcus",2019,23,347,94,259,15,27,7,116,37,31,84,103.2
"Bosenavulagi, Atu",2021,8,46,28,35,1,0,0,13,4,5,60.4,42.4
"Bosenavulagi, Atu",2020,3,9,6,12,0,0,0,5,2,3,62.7,34.2
"Bowes, Jack",2021,19,307,97,97,1,2,0,38,10,15,79.8,80.6
"Bowes, Jack",2020,17,195,69,95,1,0,0,30,5,10,82.6,79.6
"Bowes, Jack",2019,15,139,53,137,6,3,0,55,10,15,74.8,71.6
"Bowey, Jake",2021,7,61,23,58,0,0,0,5,1,7,76.6,52.6
"Bramble, Lachlan",2021,10,119,44,64,1,3,0,20,7,3,83.6,70.4
"Brand, Kaiden",2021,3,22,10,16,0,0,0,6,4,2,78.3,50
"Brand, Kaiden",2020,2,10,7,8,0,0,0,3,2,0,87,50.6
"Brand, Kaiden",2019,5,34,20,22,0,0,0,6,1,4,91.4,43.8
"Brander, Jarrod",2021,11,108,53,60,5,6,0,11,5,3,80,61.7
"Brander, Jarrod",2020,8,67,36,22,0,1,0,12,3,2,80.5,62.3
"Brander, Jarrod",2019,2,14,8,4,0,2,0,1,0,1,74.5,38.5
"Brayshaw, Andrew",2021,20,265,101,303,8,5,0,93,25,23,78.8,104.3
"Brayshaw, Andrew",2020,17,147,49,191,0,3,0,83,18,8,75.4,95.5
"Brayshaw, Andrew",2019,22,167,46,205,7,7,0,113,16,12,71,69.5
"Brayshaw, Angus",2021,25,274,105,186,3,7,0,61,12,19,82.4,69.3
"Brayshaw, Angus",2020,14,116,40,117,5,6,0,41,4,7,74.7,79
"Brayshaw, Angus",2019,22,278,87,209,9,7,0,96,23,16,77.5,87.9
"Brayshaw, Hamish",2020,1,3,1,2,0,1,0,1,1,0,58,27.5
"Breust, Luke",2021,19,121,47,117,33,11,0,62,12,13,79.4,61.5
"Breust, Luke",2020,13,77,24,64,16,6,0,51,14,13,80.8,68.5
"Breust, Luke",2019,22,165,61,137,34,17,0,85,29,14,83.5,68.2
"Briggs, Kieren",2021,5,23,9,26,2,0,85,22,8,6,65.6,64.6
"Broad, Nathan",2021,14,159,89,70,0,0,0,17,7,5,90.5,67.4
"Broad, Nathan",2020,16,128,65,47,0,0,1,28,6,7,92.3,60.2
"Broad, Nathan",2019,24,165,86,106,1,0,3,44,17,13,83,47
"Broadbent, Matthew",2019,10,145,58,54,0,0,0,8,6,3,82.8,74.6
"Brockman, Tyler",2021,11,52,27,46,10,4,0,23,2,6,68,42.6
"Brodie, Will",2021,5,25,7,39,0,1,0,8,3,3,55,40.2
"Brodie, Will",2020,1,4,3,10,0,0,0,1,0,0,67,56.3
"Brodie, Will",2019,8,77,34,97,2,1,0,44,6,6,74.5,88
"Brooksby, Keegan",2020,1,4,0,1,0,0,10,2,3,2,53,36.3
"Broomhead, Tim",2020,1,2,0,5,0,0,0,2,1,1,79,27.5
"Brown, Ben",2021,13,102,69,24,25,13,13,20,11,6,79.8,62.3
"Brown, Ben",2020,9,49,31,13,8,8,4,6,6,3,88.6,48.2
"Brown, Ben",2019,22,187,108,57,64,34,58,25,44,12,97.7,72
"Brown, Callum",2021,15,66,41,107,3,6,0,44,8,5,60.4,48.5
"Brown, Callum",2021,2,4,2,2,0,0,0,1,0,1,35.5,11.5
"Brown, Callum",2020,14,69,24,109,6,2,0,29,11,7,76.1,57.2
"Brown, Callum",2019,22,160,58,162,11,13,0,89,22,15,76.5,63.2
"Brown, Luke",2021,11,99,39,43,0,0,0,26,8,2,76.6,55.1
"Brown, Luke",2020,17,141,46,56,0,1,0,35,13,9,84.7,58.8
