Player,ID,Season,GM,KI_Ave,MK_Ave,HB_Ave,GL_Ave,BH_Ave,HO_Ave,TK_Ave,FF_Ave,FA_Ave,FantasyAve
"Dunkley, Josh",289,2020,12,8.50,2.80,13.40,0.60,0.50,1.20,7.10,1.00,0.90,92.7
"Dunkley, Josh",289,2021,15,8.60,3.73,14.67,0.33,0.53,0.00,5.20,1.00,0.47,89.3
"Dunkley, Kyle",290,2019,5,6.80,4.40,2.80,0.60,0.00,0.00,2.00,0.60,0.80,49.0
"Dunn, Lynden",291,2015,22,11.00,4.50,5.45,0.05,0.09,0.64,2.50,0.73,0.95,66.3
"Dunn, Lynden",291,2016,4,10.50,3.75,3.25,0.25,0.00,0.25,2.50,1.50,1.50,58.0
"Dunn, Lynden",291,2017,17,9.53,5.18,4.00,0.06,0.06,0.00,1.35,0.76,0.82,56.2
"Dunn, Lynden",291,2018,14,8.50,4.07,4.29,0.00,0.00,0.00,2.00,0.86,1.43,50.9
"Dunn, Lynden",291,2020,2,7.20,3.00,3.60,0.60,0.00,0.00,1.80,0.60,0.60,47.4
"Dunstan, Luke",292,2015,19,8.84,3.26,8.21,0.63,0.42,0.16,3.68,0.63,0.74,70.3
"Dunstan, Luke",292,2016,18,7.28,2.44,10.11,0.28,0.61,0.00,4.78,1.06,1.00,68.8
"Dunstan, Luke",292,2017,16,10.38,4.19,11.25,0.63,0.56,0.00,4.94,0.75,1.13,87.6
"Dunstan, Luke",292,2018,16,11.13,3.50,10.56,0.31,0.31,0.00,4.38,1.25,1.19,82.4
"Dunstan, Luke",292,2019,18,11.56,3.28,10.78,0.22,0.67,0.06,4.83,1.44,0.94,86.1
"Dunstan, Luke",292,2020,1,15.60,3.60,9.60,0.00,0.00,0.00,10.80,0.00,0.00,120.0
"Dunstan, Luke",292,2021,12,14.08,4.25,11.17,0.08,0.33,0.00,4.92,1.50,1.58,94.6
"Durdin, Corey",293,2021,2,2.00,1.00,2.00,0.50,0.00,0.00,2.00,0.50,0.00,24.5
"Durdin, Sam",294,2017,8,7.25,4.00,4.00,0.13,0.50,0.00,1.75,0.63,1.38,46.5
