Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve,KI_norm,MK_norm,HB_norm,GL_norm,BH_norm,HO_norm,TK_norm,FF_norm,FA_norm,%P_norm,FantasyAve_norm
"Anderson, Jed",19.00,2019,17.00,146.00,44.00,204.00,6.00,3.00,0.00,93.00,9.00,18.00,68.60,79.10,0.31,0.23,0.45,0.08,0.06,0.00,0.55,0.17,0.23,0.66,0.63
"Anderson, Noah",20.00,2021,20.00,264.00,83.00,189.00,0.00,6.00,0.00,60.00,11.00,19.00,76.30,81.00,0.51,0.46,0.42,0.00,0.15,0.00,0.32,0.20,0.41,0.73,0.66
"Anderson, Noah",20.00,2020,17.00,159.00,48.00,122.00,4.00,4.00,0.00,32.00,10.00,10.00,76.10,73.60,0.54,0.38,0.45,0.08,0.11,0.00,0.27,0.23,0.34,0.71,0.55
"Andrews, Harris",21.00,2021,23.00,219.00,181.00,132.00,1.00,1.00,0.00,29.00,16.00,25.00,96.70,66.40,0.42,1.00,0.30,0.02,0.02,0.00,0.16,0.30,0.54,0.97,0.54
"Andrews, Harris",21.00,2020,16.00,113.00,71.00,58.00,0.00,0.00,0.00,17.00,14.00,8.00,95.40,56.70,0.38,0.57,0.22,0.00,0.00,0.00,0.15,0.33,0.28,0.96,0.41
"Andrews, Harris",21.00,2019,21.00,163.00,116.00,106.00,0.00,0.00,0.00,33.00,11.00,17.00,95.30,54.30,0.34,0.62,0.23,0.00,0.00,0.00,0.20,0.21,0.22,0.97,0.43
"Answerth, Noah",22.00,2020,9.00,71.00,25.00,24.00,0.00,0.00,0.00,17.00,3.00,3.00,84.20,55.30,0.24,0.20,0.09,0.00,0.00,0.00,0.15,0.07,0.10,0.82,0.39
"Answerth, Noah",22.00,2019,19.00,156.00,70.00,68.00,2.00,0.00,0.00,55.00,12.00,10.00,77.20,54.10,0.33,0.37,0.15,0.03,0.00,0.00,0.33,0.23,0.13,0.76,0.43
"Appleby, Flynn",23.00,2020,1.00,4.00,1.00,5.00,1.00,2.00,0.00,2.00,2.00,1.00,80.00,50.00,0.01,0.01,0.02,0.02,0.06,0.00,0.02,0.05,0.03,0.76,0.35
"Armitage, David",24.00,2019,2.00,20.00,8.00,13.00,0.00,0.00,0.00,6.00,1.00,1.00,80.00,66.00,0.04,0.04,0.03,0.00,0.00,0.00,0.04,0.02,0.01,0.80,0.52
"Ash, Lachie",25.00,2021,23.00,265.00,111.00,127.00,1.00,1.00,0.00,63.00,6.00,10.00,75.60,70.30,0.51,0.61,0.29,0.02,0.02,0.00,0.34,0.11,0.22,0.72,0.57
"Ash, Lachie",25.00,2020,12.00,79.00,31.00,57.00,1.00,0.00,0.00,22.00,5.00,5.00,80.90,55.00,0.27,0.25,0.21,0.02,0.00,0.00,0.19,0.12,0.17,0.77,0.39
"Astbury, David",26.00,2021,17.00,136.00,93.00,97.00,0.00,0.00,15.00,23.00,14.00,11.00,90.20,57.00,0.26,0.51,0.22,0.00,0.00,0.02,0.12,0.26,0.24,0.89,0.46
"Astbury, David",26.00,2020,9.00,73.00,39.00,38.00,0.00,0.00,3.00,17.00,8.00,6.00,86.70,65.70,0.25,0.31,0.14,0.00,0.00,0.01,0.15,0.19,0.21,0.85,0.48
"Astbury, David",26.00,2019,22.00,209.00,132.00,90.00,1.00,0.00,2.00,12.00,19.00,13.00,92.50,56.30,0.44,0.70,0.20,0.01,0.00,0.00,0.07,0.36,0.17,0.94,0.45
"Atkins, Rory",27.00,2021,8.00,47.00,16.00,41.00,2.00,2.00,0.00,9.00,0.00,3.00,68.10,39.00,0.09,0.09,0.09,0.03,0.05,0.00,0.05,0.00,0.07,0.64,0.31
"Atkins, Rory",27.00,2020,4.00,20.00,4.00,17.00,2.00,0.00,0.00,8.00,1.00,3.00,68.00,44.40,0.07,0.03,0.06,0.04,0.00,0.00,0.07,0.02,0.10,0.61,0.30
"Atkins, Rory",27.00,2019,20.00,296.00,115.00,135.00,6.00,9.00,0.00,31.00,4.00,16.00,84.70,81.40,0.63,0.61,0.30,0.08,0.18,0.00,0.18,0.08,0.21,0.85,0.65
"Atkins, Tom",28.00,2021,22.00,207.00,84.00,169.00,0.00,1.00,0.00,75.00,9.00,27.00,82.90,65.50,0.40,0.46,0.38,0.00,0.02,0.00,0.41,0.17,0.59,0.81,0.53
