Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Darcy, Sean",2020,15,42,25,92,5,6,330,26,7,29,77.7,64.6
"Tucker, Darcy",2020,8,68,21,44,4,2,0,26,7,8,69.9,73.1
"Crowden, Mitch",2020,10,50,15,34,6,1,0,47,4,10,77.7,57.8
"Colyer, Travis",2020,9,54,16,26,3,2,0,9,0,3,71.7,42.9
"Frederick, Michael",2020,10,41,18,39,4,6,0,8,4,5,74.4,38.3
"Blakely, Connor",2020,5,26,12,49,0,0,0,12,5,3,58.6,64
"Hogan, Jesse",2020,7,41,37,30,5,4,0,4,3,2,93.7,60.9
"Young, Hayden",2020,5,33,16,17,0,0,0,7,2,1,62.8,52
"Logue, Griffin",2020,5,22,12,27,0,0,0,5,3,1,98.2,44
"Banfield, Bailey",2020,5,26,8,21,2,0,0,18,8,3,81.8,56.8
"Matera, Brandon",2020,5,25,8,6,3,3,0,12,4,3,78,43.8
"Watson, Tobe",2020,3,21,12,9,0,0,0,7,1,0,81.3,60.8
"Sturt, Sam",2020,3,12,7,11,4,0,0,3,2,0,74,48.8
"Henry, Liam",2020,3,16,8,6,1,3,0,4,1,0,72.3,45.8
"McCarthy, Cam",2020,1,8,3,3,0,1,0,1,1,0,69,56.3
"Guthrie, Cameron",2020,21,225,95,222,7,2,0,86,17,18,73.6,104.5
"Menegola, Sam",2020,21,261,118,184,16,5,0,32,3,14,84,100.9
"Dangerfield, Patrick",2020,21,280,78,156,17,17,0,55,34,27,85.1,99.9
"Duncan, Mitch",2020,20,262,123,145,13,8,0,68,13,14,78.5,110.9
"Stewart, Tom",2020,18,263,125,81,0,1,0,23,4,12,79.1,96.3
"Tuohy, Zach",2020,19,234,74,82,8,8,0,17,6,7,83.5,78.8
"Miers, Gryan",2020,21,188,93,97,19,6,0,33,12,8,87.9,76
"Parfitt, Brandan",2020,18,148,31,131,8,6,0,107,13,21,71.3,85.5
"Blicavs, Mark",2020,21,132,70,131,3,1,181,59,22,22,87,75
"Hawkins, Tom",2020,21,172,114,87,49,36,45,40,7,18,95.6,90.5
"Selwood, Joel",2020,15,138,37,120,4,4,0,63,20,20,73.3,83.8
"OConnor, Mark",2020,21,158,87,80,2,0,0,31,11,11,88.4,60.1
"Bews, Jed",2020,20,146,65,72,3,2,0,35,12,10,85.9,57.4
"Dahlhaus, Luke",2020,16,89,44,127,7,0,0,37,7,5,75.4,65.2
"Henry, Jack",2020,21,157,82,48,1,0,0,35,7,19,83.5,54.1
"Taylor, Harry",2020,19,113,61,73,1,0,0,27,13,10,88.1,50.3
"Henderson, Lachie",2020,14,137,90,46,1,0,0,17,3,13,93.5,72.4
"Ablett, Gary",2020,12,97,24,82,9,8,0,27,5,10,82.4,70
"Kolodjashnij, Jake",2020,17,125,77,52,0,3,0,25,2,11,88.7,57.5
"Rohan, Gary",2020,19,123,61,41,22,17,0,36,15,9,83.2,60.2
"Steven, Jack",2020,9,84,33,64,1,2,0,35,12,6,68.3,86.3
"Stanley, Rhys",2020,11,72,32,68,10,5,212,14,12,12,79.6,86
"Simpson, Sam",2020,9,60,23,65,3,2,0,28,7,8,74.2,68.6
"Atkins, Tom",2020,12,43,11,74,4,1,0,38,5,6,74.6,49.4
"Ratugolea, Esava",2020,12,60,32,44,5,5,73,30,14,8,78.8,60.6
"Fogarty, Lachie",2020,6,52,17,29,1,1,0,19,10,3,74.5,72.7
"Close, Brad",2020,8,29,13,41,2,2,0,24,8,1,76.5,50.5
"Narkle, Quinton",2020,5,27,9,30,0,1,0,18,4,4,57.4,58.3
"Fort, Darcy",2020,5,31,9,16,1,0,107,9,3,13,81.4,66.3
"Clark, Jordan",2020,3,24,12,14,1,1,0,9,1,4,70,70
"Constable, Charlie",2020,2,13,4,22,0,1,0,8,2,2,58,77.5
"Guthrie, Zach",2020,3,22,7,10,2,0,0,2,2,3,82.3,50
"Jenkins, Josh",2020,1,8,3,6,0,0,0,4,1,0,87,77.5
"Jarvis, Ben",2020,1,3,3,2,0,1,0,1,0,0,60,33.8
"Miller, Touk",2020,17,177,50,163,3,4,0,88,31,14,82.4,100.7
"Greenwood, Hugh",2020,17,173,27,130,3,4,3,117,16,18,77.1,96.7
"Ellis, Brandon",2020,16,194,68,99,5,3,0,42,13,13,86.4,90.5
"Bowes, Jack",2020,17,195,69,95,1,0,0,30,5,10,82.6,79.6
"Weller, Lachie",2020,17,161,39,126,12,3,0,48,13,9,82.6,81.3
"Anderson, Noah",2020,17,159,48,122,4,4,0,32,10,10,76.1,73.6
"Lukosius, Jack",2020,17,219,62,59,3,3,0,27,8,13,82.8,77.9
"Swallow, David",2020,15,154,54,116,4,10,0,59,8,21,78.2,89.3
"Ainsworth, Ben",2020,16,147,70,80,12,13,0,27,15,9,82.2,77.5
"Powell, Wil",2020,15,102,50,95,2,0,0,25,7,6,76.7,62.3
"Collins, Sam",2020,17,107,74,68,0,0,0,27,18,6,97.6,57.9
"Witts, Jarrod",2020,17,98,37,73,0,3,477,28,18,21,85.8,80.7
"Harbrow, Jarrod",2020,13,118,40,43,0,0,0,13,6,12,83.5,56
"Ballard, Charlie",2020,16,114,68,44,0,0,0,13,7,9,92.4,52
"Day, Sam",2020,17,68,47,79,12,7,54,21,9,16,77.6,50.1
"Budarick, Connor",2020,15,92,35,46,1,0,0,25,9,9,83.4,46.8
"Macpherson, Darcy",2020,12,80,26,58,4,0,0,33,11,8,78.1,60.1
"Rankine, Izak",2020,12,90,26,48,12,17,0,21,12,15,82.5,60.8
"Sexton, Alex",2020,14,103,44,28,19,12,0,22,7,8,83.6,62
"Holman, Nick",2020,12,48,27,73,2,0,0,41,6,11,82.6,54.2
"King, Ben",2020,17,88,48,33,25,20,0,7,12,10,92.5,48.1
"Hanley, Pearce",2020,8,67,30,26,0,1,0,12,4,8,74.9,58.1
"Rowell, Matt",2020,5,38,4,49,6,0,0,26,8,6,63.8,88.5
"Fiorini, Brayden",2020,5,45,18,20,2,0,0,9,2,0,72.2,69.8
"Corbett, Josh",2020,7,45,31,17,3,6,0,7,8,7,79,53.8
"Graham, Caleb",2020,7,36,25,14,0,0,0,2,2,7,84.9,35.7
"Lemmens, Sean",2020,6,29,7,19,4,0,0,9,2,2,57.3,42.1
"Flanders, Sam",2020,5,17,4,14,2,1,0,14,2,2,69.6,39
"Sharp, Jeremy",2020,2,10,4,9,0,0,0,0,1,0,65,38.1
"Brodie, Will",2020,1,4,3,10,0,0,0,1,0,0,67,56.3
"Joyce, Jesse",2020,1,9,3,5,0,0,0,1,0,0,74,62.5
"Farrar, Jy",2020,1,3,2,3,1,0,0,1,0,0,60,38.8
"Whitfield, Lachie",2020,17,224,111,166,1,2,0,34,15,12,86,107.4
"Coniglio, Stephen",2020,16,196,44,141,5,8,0,62,17,19,87.4,97.5
"Hopper, Jacob",2020,17,159,40,168,1,7,0,71,22,18,75.6,88.1
"Kelly, Josh",2020,14,177,42,132,5,8,0,58,16,8,85.5,105.6
"Perryman, Harry",2020,16,170,61,124,11,2,0,32,10,8,82.3,87.7
"Haynes, Nick",2020,17,208,121,64,0,0,0,23,13,7,88.9,88.2
"Taranto, Tim",2020,11,132,30,80,4,3,0,45,11,12,83.7,94.1
"Shaw, Heath",2020,17,162,78,47,3,1,0,38,7,16,87.9,69.4
"Greene, Toby",2020,13,122,52,84,17,11,0,19,8,11,84,82.1
"Daniels, Brent",2020,16,100,31,94,5,8,0,42,7,11,80.4,59.5
"Williams, Zac",2020,11,136,38,50,2,2,0,25,7,7,74.9,82
"Corr, Aidan",2020,15,143,59,37,0,1,0,22,4,6,80.5,62.9
"Cameron, Jeremy",2020,17,121,67,55,24,13,0,24,15,25,90,63.8
"de Boer, Matt",2020,13,58,20,95,2,0,0,46,21,20,81.8,55.9
"Himmelberg, Harry",2020,16,96,43,57,15,4,14,27,14,15,86,55.9
"Ash, Lachie",2020,12,79,31,57,1,0,0,22,5,5,80.9,55
"Finlayson, Jeremy",2020,15,102,38,21,19,10,44,35,10,10,79.1,62.5
"Lloyd, Daniel",2020,12,74,38,49,7,0,0,28,4,9,74.8,58.9
"Keeffe, Lachlan",2020,13,66,47,50,0,0,0,11,4,6,91.1,45.1
"Caldwell, Jye",2020,9,56,27,58,1,2,0,33,4,7,68.2,67.8
"Ward, Callan",2020,7,56,16,48,3,1,1,11,7,4,73.3,66.3
"Green, Tom",2020,6,31,15,60,1,3,0,14,2,3,66.3,65.8
"Davis, Phil",2020,10,42,37,42,0,0,0,12,9,6,83.5,45
"Hately, Jackson",2020,6,47,28,35,0,0,0,14,2,2,76.5,72.3
"Mumford, Shane",2020,10,14,11,66,1,0,206,35,14,28,83.2,61.1
"Kennedy, Adam",2020,6,36,11,32,0,0,0,12,4,3,72.2,51.7
"Jacobs, Sam",2020,7,34,15,23,2,0,172,19,4,3,81.6,80
"Riccardi, Jake",2020,5,37,30,15,9,6,1,2,1,2,87.4,73.8
"Langdon, Zac",2020,7,24,8,27,2,6,0,23,7,7,75.6,43.9
"Hill, Bobby",2020,5,28,10,15,4,5,0,11,3,4,64.4,52
"Cumming, Isaac",2020,3,21,11,14,0,0,0,5,0,1,84.7,58.8
"Taylor, Sam",2020,4,10,11,22,0,0,0,10,5,4,88.8,43.8
"Buckley, Jack",2020,2,11,7,8,0,0,0,5,2,0,81,57.5
"OHalloran, Xavier",2020,2,9,2,10,0,0,0,6,3,0,82.5,50
"Idun, Connor",2020,2,9,5,8,0,0,0,1,2,1,83.5,38.1
"Reid, Sam",2020,3,7,4,10,0,0,0,6,1,2,73,30
"Hutchesson, Tom",2020,1,4,2,3,0,0,0,1,1,0,55,36.3
"Sheridan, Tom",2020,1,4,3,2,0,0,0,1,0,1,77,32.5
"Mitchell, Tom",2020,17,172,52,257,2,1,0,75,20,18,88.3,107.7
"Worpel, James",2020,15,167,39,120,2,7,0,81,11,18,81.1,96.5
"Shiels, Liam",2020,16,162,46,124,6,0,0,55,10,18,79,84.7
"Wingard, Chad",2020,17,145,49,106,18,11,0,61,14,8,85.6,84.3
"OMeara, Jaeger",2020,12,140,35,110,4,4,0,50,6,23,84.4,94.8
"Hardwick, Blake",2020,16,139,45,67,1,0,0,21,2,7,82.8,59.1
"Scrimshaw, Jack",2020,13,121,51,82,0,0,0,23,7,7,76,72.9
"Sicily, James",2020,11,146,62,50,2,1,0,9,12,7,91.8,86.8
"Scully, Tom",2020,14,104,34,86,4,2,0,16,4,10,87.8,58
"Gunston, Jack",2020,16,133,68,48,31,21,0,22,10,9,88.6,76.3
"Smith, Isaac",2020,10,100,35,73,5,2,0,21,2,7,82.2,81
"Day, Will",2020,11,100,48,72,1,1,0,15,10,3,82.7,74.5
"Frost, Sam",2020,16,96,55,68,0,2,0,20,9,16,87.4,49.4
"Morrison, Harry",2020,11,92,38,64,0,1,0,19,5,8,80.3,65.5
"Breust, Luke",2020,13,77,24,64,16,6,0,51,14,13,80.8,68.5
