Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Crouch, Matt",2020,16,162,44,256,2,3,0,74,19,14,77.1,110.8
"Laird, Rory",2020,17,186,46,203,3,1,0,69,19,20,80.9,99.7
"Smith, Brodie",2020,16,203,58,72,5,6,0,38,7,10,79.4,85.3
"Keays, Ben",2020,16,147,47,118,3,5,0,53,9,14,86.3,79.7
"Crouch, Brad",2020,12,136,20,128,2,1,0,45,15,14,74.4,92.7
"OBrien, Reilly",2020,17,107,64,125,0,3,463,68,19,16,88.1,108.2
"Lynch, Tom",2020,13,144,53,78,6,5,0,13,7,6,81.1,79.7
"Brown, Luke",2020,17,141,46,56,0,1,0,35,13,9,84.7,58.8
"Sloane, Rory",2020,12,92,15,97,5,3,0,49,16,11,76.8,75.7
"Mackay, David",2020,10,73,25,82,2,2,0,16,3,7,81,64.8
"Seedsman, Paul",2020,9,79,24,65,4,5,0,28,7,5,86.9,79.4
"Doedee, Tom",2020,9,75,47,54,0,0,0,15,6,3,83.6,73.8
"Kelly, Jake",2020,15,86,44,39,0,0,0,38,10,11,87.7,49.8
"Talia, Daniel",2020,14,83,47,41,0,0,0,15,10,9,90.8,46
"Jones, Chayce",2020,15,64,22,58,6,1,0,28,14,15,80.1,41
"McAdam, Shane",2020,13,79,47,43,12,12,0,38,11,9,77,65.8
"Stengle, Tyson",2020,12,66,20,51,8,9,0,25,6,11,79.1,51
"McPherson, Andrew",2020,9,56,25,58,0,0,0,15,6,2,72.9,58.2
"Hartigan, Kyle",2020,12,68,37,43,0,0,0,18,8,8,89.7,47.6
"Murphy, Lachlan",2020,12,57,17,54,7,8,0,38,14,7,79.6,54.7
"Himmelberg, Elliott",2020,11,58,33,48,9,10,36,20,11,3,83.9,62.6
"Sholl, Lachlan",2020,8,72,24,33,2,1,0,7,5,2,83.3,61.6
"Walker, Taylor",2020,14,74,36,31,15,9,5,14,10,8,86.1,48
"Schoenberg, Harry",2020,8,40,11,54,3,0,0,15,3,4,76.1,51.6
"Fogarty, Darcy",2020,10,41,19,33,8,1,2,22,11,10,85,45.8
"McHenry, Ned",2020,8,31,17,43,0,4,0,23,10,12,80.3,46.9
"Hamill, Will",2020,8,33,15,35,0,0,0,14,8,7,62.9,40.2
"McAsey, Fischer",2020,10,35,21,29,0,2,0,12,4,2,85.5,34.3
"Crocker, Ben",2020,7,45,22,10,4,5,0,17,7,1,83.6,57.5
"Poholke, Myles",2020,5,29,15,23,2,1,0,12,1,5,78.8,56.3
"Gibbs, Bryce",2020,3,25,9,21,0,1,0,3,1,4,79.3,60.8
"Frampton, Billy",2020,5,22,17,18,5,1,20,5,2,8,86.2,50.5
"Atkins, Rory",2020,4,20,4,17,2,0,0,8,1,3,68,44.4
"Milera, Wayne",2020,2,17,7,13,0,0,0,2,0,1,82,64.4
"Butts, Jordon",2020,2,8,5,6,0,0,0,2,1,1,88,35.6
"Davis, Ben",2020,1,4,2,1,1,0,0,2,3,0,85,46.3
"Strachan, Kieran",2020,1,1,0,3,0,0,10,4,2,2,78,38.8
"Knight, Riley",2020,1,2,1,1,0,0,0,5,0,2,77,31.3
"Neale, Lachie",2020,19,249,80,262,14,13,0,59,21,12,92.3,120.3
"Lyons, Jarryd",2020,19,255,64,156,4,10,0,77,22,12,83.5,105.1
"McCluggage, Hugh",2020,19,219,70,136,8,21,0,52,13,6,84.7,92.8
"Zorko, Dayne",2020,17,222,65,64,9,15,0,75,20,20,80.3,96.9
"Berry, Jarrod",2020,17,155,70,116,7,10,0,64,20,21,77.5,86.2
"Robinson, Mitch",2020,19,182,66,79,5,3,0,44,16,16,79.3,71
"Rich, Daniel",2020,15,218,74,38,4,2,0,19,9,5,81.8,87.3
"Bailey, Zac",2020,19,166,76,89,13,9,0,47,11,19,78.1,74.5
"Ah Chee, Callum",2020,18,138,63,69,3,4,0,52,9,14,81.7,65.1
"Birchall, Grant",2020,16,150,69,53,0,0,0,16,6,4,72.4,64.1
"Gardiner, Darcy",2020,18,139,71,60,0,0,0,25,9,20,95.1,55.5
"Hipwood, Eric",2020,19,147,79,40,24,19,0,17,13,17,92,62.6
"Cameron, Charlie",2020,19,139,64,38,31,22,0,42,20,17,87.5,67.8
"Lester, Ryan",2020,15,107,62,70,0,1,0,35,7,10,88.1,63.8
"Andrews, Harris",2020,16,113,71,58,0,0,0,17,14,8,95.4,56.7
"Starcevich, Brandon",2020,18,125,57,43,1,2,0,29,10,9,78.2,51.3
"Rayner, Cam",2020,17,85,51,82,17,7,0,54,12,11,78.5,64.4
"McInerney, Oscar",2020,19,91,33,75,6,4,363,57,19,13,79.4,74.5
"McCarthy, Lincoln",2020,17,89,40,76,15,15,0,53,14,11,80.3,61.5
"McStay, Daniel",2020,17,80,54,45,11,6,7,27,9,8,89.3,48.8
"Witherden, Alex",2020,6,92,39,23,0,0,0,7,6,2,81.7,97.3
"Ellis-Yolmen, Cam",2020,9,50,18,48,3,2,0,21,5,6,66.2,54.3
"Answerth, Noah",2020,9,71,25,24,0,0,0,17,3,3,84.2,55.3
"Martin, Stefan",2020,8,37,8,21,1,1,137,19,8,9,60.3,59.1
"Coleman, Keidean",2020,5,25,9,17,2,1,0,23,3,9,78.2,54.3
"Berry, Tom",2020,6,16,10,25,0,2,0,12,2,4,71.5,35
"Payne, Jack",2020,5,28,20,11,0,0,0,4,1,4,87.8,42.8
"Smith, Archie",2020,5,9,2,18,0,0,56,5,3,5,50.4,33.3
"Skinner, Sam",2020,2,12,13,5,1,2,1,2,0,1,75.5,61.9
"Mathieson, Rhys",2020,1,8,5,6,0,0,0,2,2,0,81,76.3
"Hinge, Mitch",2020,1,10,2,3,0,0,0,3,0,0,83,67.5
"Ballenden, Connor",2020,2,5,5,4,1,1,5,1,1,1,71.5,32.5
"Fullarton, Tom",2020,2,5,1,4,1,3,0,2,1,0,40,27.5
"Robertson, Deven",2020,1,3,0,4,0,0,0,3,0,1,68,32.5
"Adams, Marcus",2020,1,2,1,3,0,0,0,0,0,1,85,15
"Eagles, Matt",2020,2,2,0,0,0,0,15,4,0,1,46,21.3
"Walsh, Sam",2020,17,193,73,156,8,4,0,47,7,14,84.5,96.7
"Cripps, Patrick",2020,17,152,40,182,7,11,0,81,38,25,85.4,94.1
"Curnow, Ed",2020,17,212,42,108,4,3,0,88,13,18,87.6,96.8
"Murphy, Marc",2020,17,178,63,135,4,7,0,37,11,18,81.6,83
"Docherty, Sam",2020,16,216,83,82,0,1,0,19,15,6,82.4,88.7
"Simpson, Kade",2020,17,201,66,63,1,0,0,19,11,7,82.5,73.5
"Setterfield, Will",2020,16,146,29,97,4,1,0,83,18,8,78.8,83.6
"Newnes, Jack",2020,17,139,53,83,13,4,0,44,7,11,80.2,71.6
"Petrevski-Seton, Sam",2020,16,155,49,62,0,0,0,36,10,8,78.5,67.7
"Gibbons, Michael",2020,15,144,51,63,11,6,0,42,10,14,80.5,76.6
"Martin, Jack",2020,15,115,64,88,12,11,0,48,16,16,75.7,79.7
"Weitering, Jacob",2020,17,146,74,42,0,1,0,17,13,13,96.6,57.9
"Plowman, Lachie",2020,16,116,54,47,0,2,0,30,11,9,92.4,55.5
"Williamson, Tom",2020,15,103,48,55,1,1,0,28,11,9,75.1,55.5
"Casboult, Levi",2020,17,112,80,40,16,8,86,31,9,22,88.6,67.1
"Cuningham, David",2020,12,72,32,66,6,6,0,33,5,6,75.8,63
"Jones, Liam",2020,17,111,72,24,0,2,0,24,9,15,95.1,48.5
"Betts, Eddie",2020,15,89,24,44,13,13,0,41,8,8,84.4,55.5
"Kennedy, Matthew",2020,7,63,26,50,2,1,0,20,5,2,68.9,82
"Pittonet, Marc",2020,13,59,23,50,0,3,292,25,15,15,79.2,68.4
"Fisher, Zac",2020,8,57,13,50,6,2,0,20,3,1,75.5,66.9
"McKay, Harry",2020,13,76,57,21,21,15,0,20,14,17,87.8,60.1
"McGovern, Mitch",2020,12,70,39,18,9,2,3,22,9,7,76.4,51.9
"De Koning, Tom",2020,7,26,10,28,0,2,87,16,3,9,77.6,52.3
"Cottrell, Matthew",2020,5,44,8,9,2,0,0,4,3,0,74.4,51.3
"Dow, Paddy",2020,3,12,6,15,1,2,0,3,2,1,68.3,42.9
"Polson, Cameron",2020,3,16,3,8,0,1,0,3,2,2,76.3,34.2
"Silvagni, Jack",2020,3,12,5,4,2,2,0,2,2,0,55,34.6
"Newman, Nic",2020,2,13,4,2,0,0,0,2,1,2,45,36.3
"Philp, Sam",2020,2,8,1,6,1,1,0,3,1,1,69,35
"OBrien, Lochie",2020,1,5,2,2,1,0,0,2,0,1,67,45
"Moore, Callum",2020,2,2,2,4,0,0,3,4,0,3,72.5,18.8
"Owies, Matthew",2020,1,3,1,2,0,0,0,1,0,2,68,17.5
"Honey, Josh",2020,1,3,2,1,0,1,0,1,0,0,63,27.5
"Lang, Darcy",2020,1,2,0,2,1,1,0,2,0,0,71,31.3
"Kreuzer, Matthew",2020,1,0,1,1,0,0,7,1,0,0,21,20
"Adams, Taylor",2020,19,245,63,186,9,2,0,103,29,23,79.7,113.4
"Crisp, Jack",2020,19,220,91,143,2,2,0,58,15,11,87.2,95.2
"Pendlebury, Scott",2020,15,175,38,179,1,2,1,45,19,3,83.5,99.7
"Maynard, Brayden",2020,19,254,78,95,0,1,0,47,17,18,86,88
"Daicos, Josh",2020,18,169,68,143,10,3,0,42,18,8,84.6,84.9
"Noble, John",2020,17,161,56,116,2,0,0,29,14,10,81.4,73.2
"Grundy, Brodie",2020,19,105,57,168,3,3,593,68,43,28,84.5,109.7
"Treloar, Adam",2020,10,122,19,147,1,4,0,30,8,8,75.6,103.9
"Phillips, Tom",2020,15,141,46,104,5,7,0,35,16,4,85.5,79.2
"Moore, Darcy",2020,18,146,87,92,0,0,0,14,13,11,91.9,63.8
"Elliott, Jamie",2020,18,141,51,86,10,10,0,57,7,12,75.4,70.6
"Sidebottom, Steele",2020,9,112,33,101,5,3,0,38,8,4,87.8,113.6
"Mayne, Chris",2020,14,89,50,116,0,2,0,38,8,8,80.6,70.3
"Hoskin-Elliott, Will",2020,18,123,85,72,11,8,0,17,7,7,80.6,62.2
"Brown, Callum",2020,14,69,24,109,6,2,0,29,11,7,76.1,57.2
"Mihocek, Brody",2020,18,110,68,48,25,9,0,33,12,17,85.4,61.3
"Roughead, Jordan",2020,17,90,64,67,0,0,0,18,10,4,93.1,49
"Madgen, Jack",2020,13,85,46,70,0,0,0,22,9,2,80.6,60
"Quaynor, Isaac",2020,11,74,33,74,0,0,0,25,5,1,81.3,64.9
"Thomas, Josh",2020,14,70,26,78,4,4,0,28,3,9,76.5,50
"de Goey, Jordan",2020,10,86,26,49,14,12,0,12,6,4,87,71.5
"Stephenson, Jaidyn",2020,14,85,47,47,14,10,0,25,4,9,84.8,59
"Wills, Rupert",2020,8,43,10,82,0,0,0,38,8,9,61.9,71.3
"Brown, Tyler",2020,9,45,14,61,2,0,0,13,1,3,69.4,49.3
"Varcoe, Travis",2020,9,54,21,42,1,2,0,15,0,2,78.4,51.5
"Howe, Jeremy",2020,4,66,26,20,0,0,0,8,3,3,92,106.9
"Cameron, Darcy",2020,10,46,36,30,4,2,57,14,9,7,74.5,54.1
"Greenwood, Levi",2020,6,37,8,33,1,0,0,19,2,1,74.8,58.8
"Cox, Mason",2020,11,38,35,31,14,2,34,6,12,5,84.8,48
"Sier, Brayden",2020,3,14,4,38,1,1,0,10,1,6,74.7,66.7
"Scharenberg, Matt",2020,3,25,12,15,0,0,0,8,1,1,83.7,71.3
"Ruscoe, Trey",2020,4,17,5,6,5,4,0,3,1,1,68.3,38.1
"Bosenavulagi, Atu",2020,3,9,6,12,0,0,0,5,2,3,62.7,34.2
"Dunn, Lynden",2020,2,12,5,6,1,0,0,3,1,1,92.5,49.4
"Reid, Ben",2020,2,7,3,4,3,0,1,1,3,1,72,38.1
"Appleby, Flynn",2020,1,4,1,5,1,2,0,2,2,1,80,50
"Broomhead, Tim",2020,1,2,0,5,0,0,0,2,1,1,79,27.5
"Keane, Mark",2020,1,5,1,2,0,0,0,2,0,1,79,33.8
"Kelly, Will",2020,1,4,2,1,1,1,0,0,0,1,71,30
"Lynch, Max",2020,1,1,0,1,0,0,2,5,0,1,58,30
"Merrett, Zach",2020,16,221,69,199,2,2,0,55,15,12,82.4,115.7
"Shiel, Dylan",2020,15,188,38,159,4,6,0,52,18,9,79.8,102.1
"Parish, Darcy",2020,17,146,27,180,7,4,0,52,5,9,78.1,81.7
"Saad, Adam",2020,17,202,49,119,2,1,0,34,10,8,83.2,82.8
"McGrath, Andrew",2020,14,149,22,161,0,1,0,67,14,12,79.7,96.6
"Ridley, Jordan",2020,17,211,110,93,0,2,0,20,10,8,90.9,89.5
"Smith, Devon",2020,16,158,40,133,7,7,0,61,15,12,84.8,88.4
"Langford, Kyle",2020,16,146,65,142,11,9,0,30,9,8,83.3,85.7
"Snelling, Will",2020,17,71,29,151,5,2,0,79,14,12,85.1,68.2
"Hurley, Michael",2020,14,154,86,66,0,0,0,5,9,12,92.9,75.4
"Redman, Mason",2020,13,94,41,65,1,1,0,22,6,11,79.7,58
"McDonald-Tipungwuti, Anthony",2020,17,86,35,61,19,7,0,57,8,16,83.2,58.4
"Zaharakis, David",2020,10,63,24,79,9,4,0,20,1,3,81.9,68.6
"Gleeson, Martin",2020,13,75,40,65,0,0,0,17,2,8,82.3,50.1
"Guelfi, Matt",2020,11,72,37,67,0,0,0,18,5,8,80.4,58.4
"Cutler, Tom",2020,8,66,25,44,2,5,0,10,5,6,85,63.3
"Ham, Brayden",2020,10,67,28,32,1,1,0,13,1,2,79.6,50.4
"Hooker, Cale",2020,8,43,37,46,3,3,0,6,4,5,90.4,57.2
"Zerk-Thatcher, Brandon",2020,10,46,30,36,0,2,0,8,5,5,88.1,40.5
"Clarke, Dylan",2020,8,31,17,50,4,0,0,19,7,5,75.4,52.5
"McKenna, Conor",2020,6,55,18,25,1,0,0,10,2,2,83.2,64.8
"Francis, Aaron",2020,8,44,27,35,0,0,0,14,5,4,76.9,51.9
"Stewart, James",2020,10,50,33,25,11,4,10,10,6,8,78.6,50.1
"Townsend, Jacob",2020,12,53,22,22,9,5,0,32,12,18,72.8,43.1
"Stringer, Jake",2020,10,57,18,16,15,7,0,19,7,8,81.5,51.6
"McKernan, Shaun",2020,9,48,31,24,5,6,41,11,4,18,78,49.4
"Hibberd, Mitchell",2020,5,31,7,38,0,2,0,23,3,6,79.8,67.3
"Draper, Sam",2020,8,46,15,20,1,3,148,15,10,15,80.8,63.3
"Fantasia, Orazio",2020,5,27,15,22,1,0,0,6,2,2,78.8,49
"Laverde, Jayden",2020,6,30,20,16,6,3,0,15,3,6,66.7,55.4
"Bellchambers, Tom",2020,7,30,10,11,1,0,139,10,9,7,81.3,56.3
"Heppell, Dyson",2020,3,15,4,25,1,1,0,3,4,2,78,51.7
"Daniher, Joe",2020,4,31,25,7,3,6,2,1,4,8,84,60
"Phillips, Andrew",2020,5,17,8,18,0,1,107,13,5,10,82.2,61.5
"Mosquito, Irving",2020,4,15,9,17,2,4,0,7,1,2,65.3,45.3
"Cahill, Ned",2020,3,8,4,9,2,2,0,3,1,2,77,31.3
"Mutch, Kobe",2020,1,5,4,6,0,0,0,0,0,1,78,45
"Begley, Josh",2020,1,3,2,2,1,0,0,4,1,1,84,48.8
"Brayshaw, Andrew",2020,17,147,49,191,0,3,0,83,18,8,75.4,95.5
"Ryan, Luke",2020,17,251,88,65,0,0,0,20,11,13,91.7,88.2
"Fyfe, Nat",2020,14,130,43,170,10,6,0,42,19,18,82.1,94.5
"Cerra, Adam",2020,17,143,51,152,2,3,0,64,17,17,79.8,82.6
"Mundy, David",2020,16,131,33,159,4,1,0,59,7,9,71,82.1
"Aish, James",2020,16,162,63,103,0,2,0,25,14,4,83,77
"Walters, Michael",2020,14,145,44,102,15,7,0,40,26,10,87.8,91.4
"Serong, Caleb",2020,14,127,32,109,2,1,0,58,11,6,70.1,83.3
"Hughes, Ethan",2020,17,140,79,77,0,0,0,20,11,9,84.2,64.3
"Wilson, Nathan",2020,15,153,50,52,1,1,0,14,9,3,82,64.7
"Conca, Reece",2020,14,140,48,59,0,0,0,38,9,13,84.3,71.8
"Bewley, Brett",2020,12,100,40,74,5,0,0,21,6,1,83.8,71.4
"Lobb, Rory",2020,17,116,63,57,10,6,156,24,15,6,97.2,71
"Duman, Taylin",2020,15,113,46,58,0,0,0,29,10,8,80.4,57.9
"Schultz, Lachie",2020,17,109,61,60,12,7,0,43,15,13,80.9,63
"Taberner, Matthew",2020,16,129,92,37,29,13,8,8,10,12,98,73.3
"Hill, Stephen",2020,12,96,40,61,0,0,0,21,7,6,81.1,62.8
"Cox, Brennan",2020,13,83,51,65,0,0,0,11,10,7,90.5,54.3
"Acres, Blake",2020,7,75,40,59,0,0,0,19,3,7,83,93
