Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Andrews, Harris",21,2019,21.00,163.00,116.00,106.00,0.00,0.00,0.00,33.00,11.00,17.00,95.30,54.30
"Answerth, Noah",22,2020,9.00,71.00,25.00,24.00,0.00,0.00,0.00,17.00,3.00,3.00,84.20,55.30
"Answerth, Noah",22,2019,19.00,156.00,70.00,68.00,2.00,0.00,0.00,55.00,12.00,10.00,77.20,54.10
"Appleby, Flynn",23,2020,1.00,4.00,1.00,5.00,1.00,2.00,0.00,2.00,2.00,1.00,80.00,50.00
"Armitage, David",24,2019,2.00,20.00,8.00,13.00,0.00,0.00,0.00,6.00,1.00,1.00,80.00,66.00
"Ash, Lachie",25,2021,23.00,265.00,111.00,127.00,1.00,1.00,0.00,63.00,6.00,10.00,75.60,70.30
"Ash, Lachie",25,2020,12.00,79.00,31.00,57.00,1.00,0.00,0.00,22.00,5.00,5.00,80.90,55.00
"Astbury, David",26,2021,17.00,136.00,93.00,97.00,0.00,0.00,15.00,23.00,14.00,11.00,90.20,57.00
"Astbury, David",26,2020,9.00,73.00,39.00,38.00,0.00,0.00,3.00,17.00,8.00,6.00,86.70,65.70
"Astbury, David",26,2019,22.00,209.00,132.00,90.00,1.00,0.00,2.00,12.00,19.00,13.00,92.50,56.30
"Atkins, Rory",27,2021,8.00,47.00,16.00,41.00,2.00,2.00,0.00,9.00,0.00,3.00,68.10,39.00
"Atkins, Rory",27,2020,4.00,20.00,4.00,17.00,2.00,0.00,0.00,8.00,1.00,3.00,68.00,44.40
"Atkins, Rory",27,2019,20.00,296.00,115.00,135.00,6.00,9.00,0.00,31.00,4.00,16.00,84.70,81.40
"Atkins, Tom",28,2021,22.00,207.00,84.00,169.00,0.00,1.00,0.00,75.00,9.00,27.00,82.90,65.50
"Atkins, Tom",28,2020,12.00,43.00,11.00,74.00,4.00,1.00,0.00,38.00,5.00,6.00,74.60,49.40
"Atkins, Tom",28,2019,23.00,122.00,36.00,162.00,5.00,4.00,0.00,110.00,12.00,16.00,80.10,53.70
"Atley, Joe",29,2019,1.00,4.00,2.00,15.00,0.00,0.00,0.00,4.00,0.00,2.00,68.00,58.00
"Atley, Shaun",30,2021,20.00,190.00,107.00,154.00,1.00,1.00,0.00,26.00,14.00,7.00,82.20,65.20
"Atley, Shaun",30,2020,17.00,132.00,57.00,136.00,1.00,0.00,0.00,25.00,9.00,9.00,87.90,68.20
"Atley, Shaun",30,2019,21.00,222.00,71.00,201.00,0.00,3.00,0.00,38.00,11.00,15.00,87.40,66.80
"Baguley, Mark",31,2019,10.00,53.00,29.00,46.00,12.00,2.00,0.00,28.00,5.00,16.00,89.00,48.10
"Bailey, Zac",32,2021,24.00,273.00,77.00,167.00,31.00,18.00,0.00,68.00,20.00,45.00,81.40,72.70
"Bailey, Zac",32,2020,19.00,166.00,76.00,89.00,13.00,9.00,0.00,47.00,11.00,19.00,78.10,74.50
"Bailey, Zac",32,2019,15.00,106.00,38.00,74.00,5.00,5.00,0.00,29.00,10.00,14.00,70.40,46.60
"Baker, Liam",33,2021,22.00,238.00,88.00,208.00,7.00,8.00,0.00,61.00,12.00,33.00,83.10,72.80
"Baker, Liam",33,2020,20.00,166.00,73.00,131.00,1.00,1.00,0.00,39.00,18.00,13.00,77.30,70.10
"Baker, Liam",33,2019,19.00,166.00,63.00,155.00,8.00,10.00,0.00,61.00,16.00,21.00,76.50,65.90
"Baker, Oskar",34,2021,3.00,12.00,5.00,3.00,0.00,0.00,0.00,4.00,0.00,0.00,28.30,24.30
"Baker, Oskar",34,2020,3.00,30.00,8.00,11.00,2.00,0.00,0.00,5.00,3.00,3.00,68.70,67.50
"Baker, Oskar",34,2019,9.00,79.00,40.00,45.00,2.00,4.00,0.00,15.00,2.00,10.00,70.60,55.00
"Ballard, Charlie",35,2021,21.00,227.00,140.00,61.00,0.00,0.00,0.00,25.00,20.00,16.00,92.70,61.70
"Ballard, Charlie",35,2020,16.00,114.00,68.00,44.00,0.00,0.00,0.00,13.00,7.00,9.00,92.40,52.00
"Ballard, Charlie",35,2019,21.00,211.00,111.00,63.00,0.00,1.00,0.00,23.00,13.00,17.00,88.70,54.60
